Sample	Bact1	Rum	Prev	Bact2
S003.142	4.02781814630686e-78	1.09709339592367e-77	1.0166418314652e-82	1
S005.66	4.54172412269359e-121	1.73654371570892e-120	3.1463659872859e-98	1
S010.78	2.7036686099097e-101	9.89342143008025e-111	3.57332130926191e-102	1
S011.9	6.4886596709514e-63	8.25483935659879e-71	8.99506818262142e-73	1
S007.128	6.80808073375348e-41	2.04668188072993e-54	1.10190691089569e-60	1
S006.96	4.40958119869459e-83	2.44473821271003e-90	6.76587834775061e-88	1
S004.230	3.44663587176525e-43	1.45144945096313e-50	6.20789683359798e-32	1
S009.8	5.12278944615433e-125	5.88098708109013e-121	3.39104077140411e-100	1
S009.76	2.41341859376656e-122	2.89571304040954e-122	7.30778790087884e-101	1
S003.190	2.45029399357374e-51	3.65185232657026e-64	3.04820642225234e-63	1
S007.7	8.63090417505802e-126	9.45923629469902e-127	6.39663495997095e-103	1
S006.61	3.80327660827974e-91	2.94826093890203e-102	1.6626932443023e-95	1
S005.47	2.13488821838359e-110	6.44944586184162e-109	3.18541587499797e-91	1
S011.5	2.40642142615477e-86	1.04227965409178e-84	1.27770390067871e-84	1
S010.136	9.70662537732339e-49	1.80026071940402e-54	1.37322942034615e-58	1
S004.194	9.46960832081245e-65	3.89541901858109e-70	2.08726905578403e-65	1
S009.181	4.73018652811365e-41	4.66459482592017e-54	5.67161928138084e-52	1
S004.96	1.10129884478159e-125	9.64744441449206e-125	2.16757634757033e-100	1
S003.97	3.61550543764671e-84	1.63981679967591e-82	2.61028437169036e-84	1
S005.183	1.95815075146677e-80	4.94875176221286e-82	1.54411421148607e-84	1
S007.10	3.50825618249601e-127	4.25382809225646e-126	6.06867850818496e-104	1
S011.79	4.7048938886352e-18	6.25181576626593e-34	1.47514376400662e-41	1
S010.103	2.83832906109656e-116	1.10189227203696e-114	7.71600348038534e-93	1
S006.64	1.2098363712165e-93	5.94639202077891e-101	5.17344308634747e-95	1
S006.66	3.81021017217236e-98	2.71732818044298e-105	2.0883344406806e-99	1
S004.124	7.74167338347398e-106	3.2773851967898e-93	1.1070576875846e-86	1
S011.38	2.7846675832523e-82	6.68459112602134e-80	2.4290119381475e-86	1
S005.64	2.28259571970051e-118	1.38965560944788e-120	1.28526125441756e-98	1
S003.166	1.03890306821922e-75	1.18361288677777e-77	3.25311220089529e-82	1
S007.24	2.22812883031846e-124	9.56449639778983e-126	1.19526127112609e-103	1
S009.201	1.95625780720258e-54	1.65792483141246e-62	1.46159328790861e-64	1
