	Axis.1	Axis.2	Axis.3	Axis.4	Axis.5	Axis.6	Axis.7	Axis.8	Axis.9	Axis.10
S011.21	-0.455048691613062	-0.385307171795468	0.0710293363289067	0.0440693507610297	-0.0924186415076236	0.0311141250633447	-0.0574995826339166	0.0846367806519483	-0.0864215535498918	0.0130480601289425
S010.21	-0.644002290642945	0.188374737479692	-0.041221421274797	0.174766169604265	-0.0734064604574779	0.0481638076483926	-0.0736008449049878	0.0297316421762271	-0.17028182783489	0.045036317810386
S003.92	-0.417871929336744	-0.396537631754666	0.0548931022632155	-0.0953152964870247	-0.0697899340299255	-0.0521965169126626	0.0316321262357861	0.0732273450760577	-0.0575085298467184	0.145367215159054
S009.181	-0.267081268268481	0.0915315618859959	-0.0412875118220148	0.0253992568744623	-0.0258755565924287	-0.0120396853826943	0.256450993696467	-0.0585072123050886	-0.145584738867034	-0.117154687328604
S006.7	-0.482424979835088	0.279590969207543	0.00537800504898806	-0.577923481631162	0.178880606779501	-0.103872176387473	-0.035988997709974	-0.0845916386604567	-0.192627804639551	-0.153903682165916
S010.144	-0.368497738768854	-0.364105463120133	0.0579237297209861	0.0276717643179614	-0.0880761518817213	-0.0751129287735278	0.107059780784476	0.0163544678217695	0.0362171559667626	0.0861298081192163
S006.124	-0.566231876917045	0.159008327525257	-0.0321416763619677	0.25439313490258	-0.0928297845986565	0.0509527137309439	-0.0506619534384846	0.0186783497840586	0.0126031842302369	0.024823556052346
S009.104	-0.684769705923289	0.239789820927858	-0.0263810333340614	-0.243916286185795	0.149193510594042	-0.0463925599565966	-0.164582990751312	0.0338622211103351	0.0480852358073325	0.0810839236505648
S010.95	-0.525997089474091	0.148587315254859	0.0433604306598211	0.264976670139335	-0.0677751113199868	0.100404407528313	-0.117188895698062	0.0435457509126791	-0.00557837951221477	0.0047226679057732
S011.1	-0.255264700404588	-0.180944342589793	0.323854831607809	0.119109045582094	-0.00727512410016604	-0.0144301536986827	-0.0572511784508568	-0.0585644801203722	0.0146823709175084	0.128235058172277
S011.26	-0.52580011653299	0.0244298544144265	0.0172919465701689	0.280608701293153	-0.0855786627767244	0.144051022490191	-0.211049238034391	0.0400685387611905	-0.0491084605404084	-0.111090574666909
S004.96	-0.624641538934117	0.172242212451172	-0.0492540616177177	0.226156880134236	-0.0999925736286839	0.0775880647664139	-0.0655673617227927	0.0584900729603202	-0.125543618434927	0.0488184469556387
S007.118	-0.296632357590428	-0.190972573463853	0.160004964650963	0.128544271707692	-0.038122653334985	-0.0530547992718359	0.0894231378426784	-0.067797546538256	0.178580511455794	0.0384227625543074
S007.48	-0.715799834305495	0.199926704289875	-0.0266008779976967	0.0387912537970026	-0.0139383610387401	-0.0606258748474514	0.211349062993896	-0.123053649837047	-0.00817257523554674	-0.085980527184457
S009.74	-0.723084668490467	0.216605865853199	-0.0488157974641634	0.0549625907427265	0.0302004548166721	0.0608310031928166	-0.110579058082744	0.0460481075125304	0.0267180961155255	0.023066061742363
S003.142	-0.298795276484216	-0.385510572652499	0.0774563595823272	-0.126310396787855	-0.0815749013693946	-0.100799670611913	0.278950666241004	-0.0774624949516248	0.0615666923634714	0.00514321091270202
S006.66	-0.583986552624023	-0.166578456817355	0.00705219210686405	0.0218790686669096	0.0176462210714405	-0.0185748711706909	0.0193238666346995	-0.0941231198154721	0.150995215078756	-0.0750264578659777
S003.43	-0.590192566233249	-0.306843359277708	0.013913979787683	-0.113670530628066	0.0166143690876625	-0.00520256613115515	-0.0899638623890639	0.0711216184875149	0.0162592006405222	0.0968685547326801
S003.114	-0.540902159607865	-0.0400508034819514	0.0105877226411726	0.194429809886414	-0.0405884804000821	0.00744908575093255	0.058081675081904	-0.130280887825227	0.200219167592056	-0.116466467616778
S009.95	-0.651824037857754	0.188598465302739	-0.0369924659611479	0.0634077262157226	-0.0224289848182531	-0.0322893830104836	0.237620942292183	-0.0989560587039204	-0.0491062833544681	-0.0801062852951233
S009.4	-0.341700426144972	0.172156059921443	0.00762603816186386	-0.197813287780271	-0.0481888922467568	-0.043387496425012	0.108641142843351	-0.0656624925460649	-0.371462191237924	-0.103217667662663
S007.13	-0.428063567453095	0.170441118702624	0.0138228417426001	-0.130365216396112	-0.0819152600336543	-0.138293760563515	0.526471274116768	-0.276297204481376	-0.126138140569536	-0.282427599942116
S011.2	-0.239568773303679	-0.129390333084213	0.344561176624203	0.130854481098097	0.0124937497743114	-0.0183141377896911	-0.0702946479314328	-0.0911169262313329	0.0334411262149165	0.127696298821426
S006.92	-0.387741477630826	-0.426247953695151	0.101478562051111	-0.0413788041292746	-0.0945748728975945	-0.0589682934529126	0.0853813741228001	0.0374726890228067	-0.0310397607381856	0.0837021582853227
S007.60	-0.667053549982312	0.180664356044374	-0.0193690043014427	0.0247494778048285	-0.021682766298487	-0.0929467647965318	0.344991799487851	-0.158818197357348	0.00969919748126816	-0.0980982662844935
S010.29	-0.696844608802383	0.211004188658693	-0.0358345767288748	0.133371535412695	-0.0418326254388564	0.052717246746429	-0.137850368596493	0.0303007236854294	-0.116425834825803	0.0407016464346362
S003.80	-0.549760588720357	-0.129855505724292	-0.00451691206149756	0.136812749418211	-0.0288286502919517	0.0900617345009889	-0.207658869718823	0.00935857328002218	0.0646557325168731	-0.0500720904311747
S004.124	-0.372925373980374	0.204673087589079	0.0650582378745977	-0.346521979410703	0.113007854740248	-0.110725320838641	0.221439026828805	-0.164842842547913	0.203097533393838	-0.114733715557695
S007.71	-0.146754974738714	-0.216153930818094	0.388876334213904	-0.129698018023913	0.0151568557488991	-0.100800280320018	-0.0476732582153292	-0.122525322942838	-0.00529252208071775	0.142335064371259
S011.12	-0.441415517915951	-0.289005904988331	0.0316458040949098	0.116601637755503	-0.082176727010326	0.084578739266432	-0.0906354281142352	0.0635960850262396	-0.00663439513436659	-0.0216269815435961
S011.19	-0.489038638146567	-0.245113768130664	0.0567232474910586	0.176323085500684	-0.0727714579721739	0.108614470951899	-0.179988477823521	0.0422670454337181	-0.0259137802412727	-0.133676850461012
S009.185	-0.670401993565502	0.202198131408515	-0.0546899792612267	0.235170624679266	-0.111354889141831	0.0753224486225274	0.0288610088614722	-0.0153053323412431	-0.256418390288339	-0.122072695673203
S006.183	0.0221646250400406	-0.299415439085682	-0.128349860951417	-0.0107027655480481	-0.000454831421645676	-0.130385166127671	-0.00837028898757996	0.0289362776524017	-0.0680944914533657	0.0647531409463398
S009.119	-0.641440529485978	0.0973432208053278	-0.00447181027349242	0.00189989848218271	0.0535735545233235	-0.00374922930351252	-0.106200885634109	-0.0563113250080234	0.13762208411313	-0.051563755845637
S009.12	-0.610124981640115	0.235299381370639	-0.0128199744018178	-0.320456079542725	0.159447668991583	-0.0859392505351412	-0.0833828918921053	0.0086214551727639	-0.0297653807637753	0.100881542522403
S011.87	-0.0439643406849083	-0.211616226706715	-0.179123543122631	0.0632635536149628	0.111541679460687	-0.0814343343993506	0.0626832905398131	0.102315176242338	0.0266221738434496	0.0372002526560625
S003.88	-0.497655553413131	-0.330681507655868	0.0373350498660944	0.00268471312004163	-0.0756503651518016	-0.015372192785399	-0.0329150287459188	0.0582446745593384	-0.0320474950000387	0.111762114603755
S011.74	-0.0299916961714084	-0.138723504503044	-0.271979736811995	0.102399098448206	0.107352214632359	-0.103650858937851	-0.0432588370891478	-0.06073266835742	0.00889454341794705	0.0104113430665674
S006.151	-0.120525340127696	-0.373776462132811	-0.0350509668697241	-0.0298387352567501	0.00631027486130007	-0.196992190154483	0.0200389103729101	0.0798471334926662	-0.135196934212611	0.0686731313502039
S004.3	-0.333119290997526	-0.466444652513677	0.0809934644860968	-0.140341389225604	-0.105929914233597	-0.0329884568538391	0.0362704598768856	0.0794532338014821	-0.193266279946241	0.0676106112968324
S009.76	-0.695818966503903	0.220798826971659	-0.0427831267505151	-0.0156279322655613	0.0546941763013366	0.030369125827236	-0.0924417088294169	0.0322548770090684	-0.00451834803788756	0.0371223685303833
S005.108	-0.449276490710513	0.166037854528883	-0.0729760837883645	0.0357876719916366	0.0463973303041823	-0.0192567666341273	0.35292054247434	-0.0224490719912788	0.183784113095645	0.0466212104939909
S010.84	-0.591673277315504	-0.286550265834752	0.0121363905861841	-0.0828795418290586	0.0162629954228772	-0.00591324003600566	-0.108777181338123	0.0614570760489358	0.030839901021083	0.0950946397544653
S010.50	-0.635120470488543	0.136357483180518	-0.00884073447018789	-0.198794622477427	0.161901304880578	-0.0335864129414185	-0.206816976202302	-0.0037984497435287	0.118235254696563	0.0128972465909304
S006.111	-0.340218059862547	0.167373632636021	-0.0843670013436621	0.369177582638431	0.0249143909591336	-0.0963043612092719	-0.112322081188752	0.0589198496375966	0.00697568539898182	0.0606401654238138
S006.162	-0.139766571303227	-0.27826694967943	-0.0353905693818195	0.0513987608421942	-0.00852004016502124	-0.076401985563182	0.0395911490934981	0.101410675056438	0.016072623255782	0.123475964077211
S005.56	-0.681635096646028	0.235499677831735	-0.0585872124289702	0.023596775848802	0.0525769475011727	0.100007740385983	-0.160088291938975	0.0787192465451949	0.0163474361135495	0.0400906296132694
S004.112	-0.674202726754666	0.160282136951442	-0.0310931886597271	0.199397018421399	-0.0977412065212958	-0.0386033357117604	0.247634131123025	-0.11495025816713	0.0517992788099617	-0.031331140210948
S010.3	-0.44328745065547	-0.302320363810373	0.0578461326607452	-0.490236277106479	0.128136884473409	-0.084303424679668	-0.158275826191403	0.0586108162866073	-0.00261342408491241	0.0808430807118433
S010.88	-0.66795993015375	0.180436598912853	-0.030374053052529	0.11182386289474	-0.00952884485163564	0.0702349015682509	-0.189692121370894	0.0472292082208089	0.00301861140918677	0.0352004206136606
S009.182	-0.228113775954724	0.064909174581371	-0.0835081591357961	0.112797577172271	0.0032453868744787	-0.184827627315343	0.379577800445416	-0.147511318676854	0.113436347974816	-0.0764416961323587
S011.18	-0.357193125790594	-0.43382659598123	0.0787253082758701	-0.0589992774185145	-0.0985768298527507	0.00238631649025247	0.0101224712887875	0.0941560536934908	-0.114722775033898	0.0688936682448947
S010.146	-0.300292799814261	-0.366110373164791	0.0272501413397205	-0.0166991742926433	-0.0694406276888819	-0.162885619882793	0.2351019830585	-0.0385209626362997	0.0427293908290465	0.0670289108975304
S005.66	-0.665692095154982	0.237355839847503	-0.0267859871573096	-0.265244093868491	0.159980688605262	-0.0482153811736472	-0.166750265310835	0.0387904365006006	0.0486885090606453	0.0894765855267298
S006.184	-0.0182702801295608	-0.285014238592183	-0.0977438875215048	0.0360033444295823	0.034192631517426	-0.158351403279916	-0.0149921335130266	0.0825268403976534	-0.0583227053917062	0.0245648966007537
S010.86	-0.417386439324839	0.0279115283786961	0.025416592074622	-0.395369258850934	0.217985855557922	-0.0757002454627003	-0.159349167149897	-0.0586526215515364	0.173280493816298	-0.0529733910543195
S007.73	-0.285747048516211	0.0774679602731081	0.330410721851051	-0.0752621628545396	0.148953331897267	-0.128284648843112	0.0379857062600833	-0.214174738822292	0.254612387796291	0.0855126867450789
S005.105	-0.595065283383069	0.182134380135248	-0.0617076611750379	0.170474787005874	-0.0321133834763068	0.026672441909118	0.196486087833684	-0.0375732206580733	0.0884636516101418	-0.0219217408313467
S004.153	-0.58664392254954	0.171328346129299	-0.00548812680480795	-0.285744417707031	0.146630916741146	-0.0952511606561747	-0.0748071335814183	-0.000708446116806928	0.0987083343369804	0.0917594867775288
S010.57	-0.631387145991455	-0.0567973984363408	-0.0217670163087473	0.0457640675199071	0.0579282112707137	0.0599544604079422	-0.22214186228295	-0.0182048839167679	0.119473255831444	-0.0725124381463695
S009.90	-0.719267670571742	0.200593059783335	-0.0422952372077291	0.16068986415104	-0.0414398488797469	0.0578531017251806	-0.0889566392089855	0.0251309239999612	-0.0183613619704488	0.0300186204017249
S006.78	-0.561179789218696	-0.247043258951047	0.0314206122061044	0.17139752469435	-0.0770110045405818	0.0688742287750277	-0.116951037980291	0.0148539010184212	0.0113148419624749	-0.0430158229231643
S006.10	-0.461265723166472	0.259914740055417	0.0149318518610023	-0.594133707190082	0.194743682078724	-0.0969904065322591	-0.156661565711852	-0.0266199841240582	-0.120800009702641	-0.0426648778138547
S011.13	-0.490699462217301	-0.340315202674553	0.0402546200060528	0.11143591152034	-0.107140010449255	0.0678419191794868	-0.10255752369516	0.0738079962678418	-0.0604426446406562	0.0187709737243331
S006.128	-0.14548474382635	-0.364975103540314	-0.132890826662743	0.0268035115930166	0.0836870756606261	-0.311814945289224	0.0351002008123344	0.0764499946791162	-0.104321100052629	0.0600302366909997
S003.128	-0.240742283962253	-0.40991945015615	0.107931690979443	-0.240356685393865	-0.0892168043955257	-0.070151600297324	0.0122424344479232	0.0335634147481733	-0.100563867859688	0.043887043960972
S003.105	-0.548095392303187	-0.26709220810329	0.0122809012213089	0.0863319523294396	-0.074015729277584	0.0447359008493519	-0.116361058705023	0.043884560019275	-0.0194642762785613	0.044083577302729
S003.195	-0.31156995139177	-0.367962143380416	0.00864879502255789	-0.00688731905608009	-0.0703232775875349	-0.135222312260566	0.0966008418595504	0.0413670752675034	-0.00905002028320475	0.148923526877666
