SampleID;Observed;Shannon;Simpson;InvSimpson
S003.72;10;1,099439913;0,52130926;2,089031428
S011.1;25;1,727498794;0,7656535;4,267185556
S009.125;15;1,094561289;0,50020894;2,000836109
S011.5;15;1,468484875;0,62723998;2,682691132
S003.92;16;0,877956219;0,42593416;1,741960469
S007.13;8;1,411621343;0,70591826;3,400415136
S004.230;28;2,399180603;0,8747283;7,982648914
S003.114;18;1,399853274;0,6900986;3,226832793
S007.132;33;2,175069252;0,83406744;6,02654476
S009.95;15;1,710293673;0,76328512;4,224491506
S007.75;26;1,848572019;0,80690854;5,178892945
S004.134;17;1,057266126;0,54008872;2,174332406
S004.52;11;0,699626006;0,34776512;1,533190007
S011.97;33;1,320834351;0,51161528;2,047566107
S009.61;16;1,298277385;0,59975038;2,498440848
S004.98;10;0,471377119;0,25423622;1,34090717
S007.45;13;1,125353754;0,56034468;2,27450904
S007.40;15;1,40996487;0,73518344;3,77619889
S005.63;17;1,51010685;0,70606172;3,402074748
S006.84;19;1,635354153;0,71365844;3,492332723
S007.44;11;1,106790049;0,5902004;2,440217121
S009.100;11;1,433721928;0,6514911;2,869367181
S010.52;12;1,245536594;0,61846616;2,62099949
S011.63;36;2,016832426;0,79374164;4,848288331
S010.149;30;1,735616773;0,75599504;4,098277346
S010.3;8;1,058791413;0,59378576;2,461755157
S010.168;25;2,017065056;0,8164781;5,448940971
S011.38;32;1,73941674;0,64628932;2,827169369
S004.117;25;1,347250922;0,59836426;2,489818262
S010.15;6;0,652022684;0,42811536;1,748604404
S010.94;20;1,545724996;0,70689216;3,411713586
S007.71;18;1,206719217;0,6132199;2,585448424
S003.88;14;1,262061149;0,6297099;2,700585298
S010.86;15;1,166195765;0,52743354;2,116104473
S006.92;21;1,479330906;0,64467342;2,8143124
S011.20;33;1,620967986;0,666324;2,996919167
S011.23;34;1,574852264;0,67639494;3,090186538
S004.38;15;0,922129328;0,45257732;1,826741998
S011.52;33;1,800949536;0,7179397;3,545341191
S007.10;10;1,497587809;0,72891094;3,688824625
S003.179;21;2,124376097;0,84120328;6,297359291
S007.121;25;1,701873613;0,69591234;3,288525421
S004.106;10;0,473769917;0,23848984;1,313180116
S004.122;10;1,292584654;0,62340458;2,655369521
S003.6;6;0,142401247;0,05005616;1,05269381
S007.99;23;1,686114279;0,74902894;3,984523156
S010.88;14;0,891014636;0,4136872;1,705574226
S010.98;24;1,376215482;0,64167856;2,790790303
S004.194;31;1,500081011;0,56211712;2,283715682
S006.76;24;1,792995671;0,75662314;4,108854063
S007.131;30;1,807800148;0,70555648;3,396237078
S007.124;30;2,08579464;0,8170469;5,465881693
S005.56;11;1,124347106;0,55284588;2,236365395
S003.20;8;0,795206328;0,38942604;1,637803224
S011.39;37;1,485225734;0,60303926;2,51914081
S007.31;9;1,419030224;0,71656434;3,528137567
S007.86;15;0,930768785;0,50504608;2,0203901
S003.166;22;1,676079115;0,66190264;2,957727916
S005.199;21;1,664330305;0,73919306;3,834253797
S009.193;18;1,319483927;0,58835008;2,42924862
S009.159;19;1,622288986;0,71899192;3,558616535
S006.176;33;2,015150941;0,7845302;4,641021619
S010.133;24;1,74800523;0,77038056;4,355031961
S011.30;29;1,582477208;0,64470036;2,81452579
S003.1;1;0;0;1
S005.3;9;0,194247171;0,0649933;1,069511053
S005.31;13;0,98364212;0,51329402;2,054628546
S011.26;31;1,533046592;0,55180886;2,231190916
