"","genus","chi-squared","p-value","FDR"
"Kruskal.Wallis.chi.squared","Bifidobacterium","79.6909028753677",3.57548883927866e-17,6.43587991070159e-17
"Kruskal.Wallis.chi.squared.1","Bacteroides","159.107981952717",2.85516380993373e-34,1.10127746954587e-33
"Kruskal.Wallis.chi.squared.2","Parabacteroides","134.492607780184",5.8181434866231e-29,1.57089874138824e-28
"Kruskal.Wallis.chi.squared.3","Blautia","90.4354043733651",1.76618338082326e-19,3.40621080587343e-19
"Kruskal.Wallis.chi.squared.4","Faecalibacterium","135.223263847988",4.04840456897566e-29,1.2145213706927e-28
"Kruskal.Wallis.chi.squared.5","Phascolarctobacterium","253.643516833968",1.06601739192599e-54,2.87824695820017e-53
"Kruskal.Wallis.chi.squared.6","Parasutterella","208.865076651694",5.12226951733709e-45,6.91506384840507e-44
"Kruskal.Wallis.chi.squared.7","Clostridium_XlVa","181.885401470894",3.45377653627549e-39,2.33129916198596e-38
"Kruskal.Wallis.chi.squared.8","Veillonella","55.8424734615325",4.53901471588226e-12,7.14359687365931e-12
"Kruskal.Wallis.chi.squared.9","Roseburia","49.8069051307927",8.78261340532829e-11,1.24805558917823e-10
"Kruskal.Wallis.chi.squared.10","Ruminococcus2","207.479707664494",1.02061057936254e-44,9.18549521426286e-44
"Kruskal.Wallis.chi.squared.11","Escherichia","116.814277922883",3.74507990450905e-25,8.42642978514536e-25
"Kruskal.Wallis.chi.squared.12","Lachnospiraceae_uncl","125.431354018202",5.21786195565132e-27,1.28074793456896e-26
"Kruskal.Wallis.chi.squared.13","Anaerostipes","174.266517238844",1.52589500873922e-37,8.23983304719179e-37
"Kruskal.Wallis.chi.squared.14","Alistipes","170.987123327517",7.79036320043804e-37,3.50566344019712e-36
"Kruskal.Wallis.chi.squared.15","Clostridium_sensu_stricto","27.9514452135431",3.71827317067279e-06,3.86128367723713e-06
"Kruskal.Wallis.chi.squared.16","Akkermansia","46.301546897073",4.89302906680347e-10,6.60558924018468e-10
"Kruskal.Wallis.chi.squared.17","Sutterella","137.542360604816",1.28037733215486e-29,4.32127349602265e-29
"Kruskal.Wallis.chi.squared.18","Staphylococcus","95.6475299129457",1.34014297798325e-20,2.78337387734983e-20
"Kruskal.Wallis.chi.squared.19","Haemophilus","41.9437193798394",4.12399009436164e-09,5.06126057035292e-09
"Kruskal.Wallis.chi.squared.20","Streptococcus","41.1702394778544",6.01750743495337e-09,7.06403046711917e-09
"Kruskal.Wallis.chi.squared.21","Clostridium_XVIII","55.7446980107395",4.76239791577287e-12,7.14359687365931e-12
"Kruskal.Wallis.chi.squared.22","Enterococcus","34.2669748434603",1.74004094885254e-07,1.95754606745911e-07
"Kruskal.Wallis.chi.squared.23","Megasphaera","42.5350332331532",3.08902000089997e-09,3.97159714401425e-09
"Kruskal.Wallis.chi.squared.24","Fusobacterium","5.38387605188051",0.145751462455565,0.145751462455565
"Kruskal.Wallis.chi.squared.25","Lactobacillus","29.8123106747553",1.51137958842838e-06,1.63228995550265e-06
"Kruskal.Wallis.chi.squared.26","Enterobacter","58.67698800852",1.12680512318366e-12,1.90148364537243e-12
