"","chi2","Z","P","P.adj","Comparison","genus","N","r","r2"
"1",79.6909028753675,-6.42518698316702,6.58537599433002e-11,1.975612798299e-10,"A - B","Bifidobacterium",182,-0.476266546069236,0.22682982290472
"2",79.6909028753675,2.18697431136268,0.0143721996783652,0.0143721996783652,"A - C","Bifidobacterium",184,0.161225885263911,0.0259937860791319
"3",79.6909028753675,8.46399719650417,1.29183017953631e-17,7.75098107721783e-17,"B - C","Bifidobacterium",176,0.637997793805099,0.407041184900173
"4",79.6909028753675,-2.33333060556253,0.00981540015617654,0.0147231002342648,"A - D","Bifidobacterium",127,-0.207049610146575,0.0428695410618487
"5",79.6909028753675,2.30494093742846,0.0105849407369948,0.0127019288843938,"B - D","Bifidobacterium",119,0.211293589307946,0.0446449808826351
"6",79.6909028753675,-3.87897356951454,5.2449075176207e-05,0.000104898150352414,"C - D","Bifidobacterium",121,-0.352633960864958,0.124350710355309
"7",159.107981952717,-4.95544580240185,3.60823182860086e-07,5.41234774290129e-07,"A - B","Bacteroides",182,-0.367322081478149,0.13492551154144
"8",159.107981952717,-11.5980965280929,2.10672814133626e-31,1.26403688480176e-30,"A - C","Bacteroides",184,-0.855023019887672,0.731064364537834
"9",159.107981952717,-6.47098725029593,4.86823254497973e-11,9.73646508995945e-11,"B - C","Bacteroides",176,-0.487769016645573,0.237918613599389
"10",159.107981952717,-8.39273901804981,2.37472561942468e-17,7.12417685827404e-17,"A - D","Bacteroides",127,-0.74473515994971,0.55463045846532
"11",159.107981952717,-4.74037949793764,1.06659145565664e-06,1.27990974678796e-06,"B - D","Bacteroides",119,-0.434549876110278,0.188833594827458
"13",134.492607780184,-2.93102721026024,0.00168921594022155,0.00202705912826586,"A - B","Parabacteroides",182,-0.21726219167205,0.0472028599301426
"14",134.492607780184,-3.6795740097,0.000116811941261833,0.000175217911892749,"A - C","Parabacteroides",184,-0.271261794903443,0.0735829613742378
"16",134.492607780184,-11.5399386239017,4.14922059048857e-31,2.48953235429314e-30,"A - D","Parabacteroides",127,-1.02400396561816,1.04858412160171
"17",134.492607780184,-9.3047749287835,6.71382106606612e-21,2.01414631981984e-20,"B - D","Parabacteroides",119,-0.852967319240162,0.727553247691748
"18",134.492607780184,-8.80969609705977,6.2742794936919e-19,1.25485589873838e-18,"C - D","Parabacteroides",121,-0.80088146336907,0.641411118368183
"19",90.4354043733651,-3.5373989771913,0.000202044369312618,0.000303066553968927,"A - B","Blautia",182,-0.262209457460073,0.0687537995815059
"20",90.4354043733651,-9.3336322163832,5.11517845576226e-21,3.06910707345736e-20,"A - C","Blautia",184,-0.688084496006954,0.473460273645144
"21",90.4354043733651,-5.65099765360858,7.97596346918651e-09,2.39278904075595e-08,"B - C","Blautia",176,-0.425959975186327,0.181441900460737
"22",90.4354043733651,-4.37566387416294,6.05317242518741e-06,1.21063448503748e-05,"A - D","Blautia",127,-0.388277382175542,0.150759325509092
"23",90.4354043733651,-1.78685608876837,0.0369803756137826,0.0369803756137826,"B - D","Blautia",119,-0.163800829097968,0.0268307116131816
"24",90.4354043733651,2.34108907745781,0.00961378949641357,0.0115365473956963,"C - D","Blautia",121,0.212826279768892,0.0452950253602667
"26",135.223263847988,-10.6555938331372,8.20966946629632e-27,4.92580167977779e-26,"A - C","Faecalibacterium",184,-0.785540799374903,0.617074347482561
"27",135.223263847988,-9.10379500264655,4.36146691922938e-20,1.30844007576881e-19,"B - C","Faecalibacterium",176,-0.686224368002072,0.470903883239843
"30",135.223263847988,6.40633283541105,7.45306867303272e-11,1.49061373460654e-10,"C - D","Faecalibacterium",121,0.582393894128278,0.3391826479179
"34",253.643516833968,-14.6642499555316,5.46086748992229e-49,3.27652049395337e-48,"A - D","Phascolarctobacterium",127,-1.30124176537459,1.69323013195518
"35",253.643516833968,-14.1691948671441,7.1060288050693e-46,1.42120576101386e-45,"B - D","Phascolarctobacterium",119,-1.29888796388108,1.68710994271515
"36",253.643516833968,-14.539608058926,3.39903808205912e-48,1.01971142461774e-47,"C - D","Phascolarctobacterium",121,-1.32178255081146,1.74710911162964
"38",208.865076651693,-2.82899344303144,0.0023347327817895,0.00350209917268425,"A - C","Parasutterella",184,-0.208556163594967,0.0434956733734504
"39",208.865076651693,-2.7681036126211,0.00281917635323109,0.0033830116238773,"B - C","Parasutterella",176,-0.208653660542988,0.0435363500579885
"40",208.865076651693,-13.5538735275755,3.75785351928854e-42,2.25471211157313e-41,"A - D","Parasutterella",127,-1.20271179024968,1.4465156504056
"41",208.865076651693,-13.3995320655691,3.04227821465013e-41,9.12683464395038e-41,"B - D","Parasutterella",119,-1.22833309053885,1.50880218131272
"42",208.865076651693,-11.415499146848,1.74944745855507e-30,3.49889491711013e-30,"C - D","Parasutterella",121,-1.03777264971345,1.07697207249328
"43",181.885401470894,-4.03419831184938,2.73945161352692e-05,3.2873419362323e-05,"A - B","Clostridium_XlVa",182,-0.299034674193372,0.0894217363699363
"44",181.885401470894,-12.8150148155825,6.75562795203332e-38,4.05337677122e-37,"A - C","Clostridium_XlVa",184,-0.944735426281737,0.892525025671735
"45",181.885401470894,-8.56846594555856,5.24363472948335e-18,1.57309041884501e-17,"B - C","Clostridium_XlVa",176,-0.645872422053535,0.417151185569299
"46",181.885401470894,-7.11549099562608,5.57575634381063e-13,1.11515126876213e-12,"A - D","Clostridium_XlVa",127,-0.631397725266054,0.398663087471148
"47",181.885401470894,-4.13890456280611,1.74484034632453e-05,2.61726051948679e-05,"B - D","Clostridium_XlVa",119,-0.379412759206757,0.143954041848884
"48",181.885401470894,2.11585618014517,0.0171785206350186,0.0171785206350186,"C - D","Clostridium_XlVa",121,0.192350561831379,0.0369987386368471
"49",55.8424734615324,-1.95060616472329,0.0255519566567158,0.0255519566567158,"A - B","Veillonella",182,-0.144588548667607,0.020905848405805
"50",55.8424734615324,-5.03283932869921,2.41634073845045e-07,7.24902221535135e-07,"A - C","Veillonella",184,-0.371025837818356,0.137660172328813
"51",55.8424734615324,-3.00459935939725,0.00132965442223605,0.00159558530668326,"B - C","Veillonella",176,-0.226480198192338,0.0512932801732407
"52",55.8424734615324,3.38034576062205,0.000361973474350631,0.000542960211525947,"A - D","Veillonella",127,0.299957181476514,0.0899743107193344
"53",55.8424734615324,4.74190755208625,1.05857618720067e-06,2.11715237440133e-06,"B - D","Veillonella",119,0.434689952604419,0.188955354895232
"54",55.8424734615324,6.95398586992692,1.77553596367725e-12,1.06532157820635e-11,"C - D","Veillonella",121,0.63218053362972,0.399652227100358
"56",49.8069051307924,-6.51739445663671,3.5769561353652e-11,2.14617368121912e-10,"A - C","Roseburia",184,-0.4804686938598,0.230850165779342
"57",49.8069051307924,-5.18968311542534,1.05326129148983e-07,3.1597838744695e-07,"B - C","Roseburia",176,-0.391187083516103,0.153027334309835
"58",49.8069051307924,-3.27142177878633,0.000535040930404836,0.00107008186080967,"A - D","Roseburia",127,-0.290291741045169,0.0842692949190356
"59",49.8069051307924,-2.36825995895516,0.00893598672280421,0.0134039800842063,"B - D","Roseburia",119,-0.217098034494629,0.0471315565814311
"62",207.479707664494,-2.85148084023111,0.00217580543549421,0.00326370815324131,"A - C","Ruminococcus2",184,-0.210213956510943,0.0441899075119845
"63",207.479707664494,-2.79010700240632,0.00263453122872682,0.00316143747447219,"B - C","Ruminococcus2",176,-0.210312228452841,0.0442312334367999
"64",207.479707664494,-13.5087438797865,6.94353387066937e-42,4.16612032240162e-41,"A - D","Ruminococcus2",127,-1.19870718157637,1.43689890716275
"65",207.479707664494,-13.3549163207471,5.54413381642872e-41,1.66324014492862e-40,"B - D","Ruminococcus2",119,-1.22424317191664,1.49877134398451
