	F	r2	r2adj	p-value	FDR
InfantID	8.18699045591054	0.208190620686649	0.189143659672238	0.001	0.00154545454545455
X.days	37.6408530361139	0.142325902822085	0.139438111249096	0.001	0.00154545454545455
Siblings	7.86619515627376	0.0326481739073725	0.0293910970518418	0.001	0.00154545454545455
FurryPets	10.2778784654571	0.0423229207484683	0.0390984187981264	0.001	0.00154545454545455
Secretor	5.25572775954107	0.0220019802563009	0.0187090576309012	0.001	0.00154545454545455
Lewis	6.90245206218709	0.0563830487643197	0.0500072585532678	0.001	0.00154545454545455
ABO	7.71861377254917	0.0627194483828115	0.0563864716826954	0.001	0.00154545454545455
Consistency	9.31507866542766	0.0749237703450125	0.0686732552797761	0.001	0.00154545454545455
ATC_level2_J01	1.15949621028735	0.00492066882233437	0.00157023336382367	0.255	0.255
ATC_level2_M01	1.26303489183855	0.00535820548529243	0.00200924321419904	0.237	0.2518125
ATC_level2_N02	1.33220605987859	0.00565034172538502	0.00230236307799581	0.186	0.2108
ICD_simple_respiratory	2.55389221310437	0.0107877542873138	0.00745707332531831	0.018	0.0255
ICD_simple_Fever	1.6849489685414	0.00713800523939171	0.00379503556006311	0.087	0.113769230769231
ICD_simple_GeneralSicknessSymptoms	4.24376294303875	0.0178252857766951	0.0145183002069197	0.001	0.00154545454545455
ICD_simple_Diarrea	1.51941581440716	0.0064403209124508	0.00309500212764424	0.115	0.139642857142857
FOOD	18.847036706127	0.14293152504969	0.137140521840567	0.001	0.00154545454545455
DayCare	25.1200410465871	0.0986747529854034	0.0956399878439401	0.001	0.00154545454545455
