F	r2	r2adj	p-value	FDR
InfantID	1.91090344938348	0.0439466643249231	0.0209488177622924	0.051	0.306
X.days	79.9534540190676	0.212104314648416	0.20945146722299	0.001	0.0084
Holiday	1.16423913538866	0.00390469071262436	0.000550834452397453	0.109	0.3444
Gender	2.66241344790255	0.00888470935433289	0.00554762083364058	0.089	0.3444
Siblings	0.0847018072415503	0.000285109959302138	-0.00308093344150828	0.773	0.954333333333333
FurryPets	1.59544202017054	0.0053431559751095	0.00199414303226475	0.221	0.515666666666667
Secretor	0.588480207800252	0.00197749659996694	-0.00138284852932613	0.475	0.906818181818182
Lewis	2.16163009044861	0.0143953557852733	0.00773586494598455	0.093	0.3444
ABO	0.373564840515426	0.00251773178677054	-0.00422201326872429	0.683	0.954333333333333
Consistency	0.231352294141906	0.00156075142377993	-0.00518545971524853	0.809	0.954333333333333
ATC_level2_A01_teejel	81.5196155957575	0.215364309369945	0.212722438357722	0.001	0.0084
ATC_level2_A01_miconazole	0.259115369359431	0.000871681828957426	-0.00249238658239292	0.564	0.954333333333333
ATC_level2_A02	1.94319501249981	0.00650021490677702	0.00315509778525103	0.132	0.3465
ATC_level2_A07_Sacharomyces	0.233104095631913	0.000784246749167329	-0.00258011605639097	0.629	0.954333333333333
ATC_level2_A07_antidiarrea	0	0	-0.00336700336700346	NA	NA
ATC_level2_A07_Lactobacillus	0	0	-0.00336700336700346	NA	NA
ATC_level2_D01	2.48146917592172	0.00828588554326901	0.00494678078078847	0.064	0.336
ATC_level2_D06	0.000367987990948391	1.2390152693793e-06	-0.00336576017996548	0.989	0.991
ATC_level2_D07	0.929205901285943	0.00311888154259645	-0.000237620539751626	0.123	0.3444
ATC_level2_R01	0.338578163624913	0.00113869571084918	-0.00222447366386191	0.534	0.954333333333333
ATC_level2_R03	0.0709731160930035	0.000238909629401146	-0.0031272893280756	0.818	0.954333333333333
ATC_level2_R05	0.0251769001164494	8.47635219990658e-05	-0.00328195444594037	0.886	0.979263157894737
ATC_level2_J01	0.170712378764125	0.000574458961307531	-0.00279061020043891	0.706	0.954333333333333
ATC_level2_M01	0.0102216740594619	3.44152265260394e-05	-0.00333247226429378	0.939	0.991
ATC_level2_N02	0.143400033619027	0.000482595385267863	-0.0028827830814484	0.744	0.954333333333333
ICD_simple_respiratory	0.692030312558505	0.00232465179478239	-0.00103452446180086	0.426	0.852
ICD_simple_urinary	0.129066436906438	0.000434378361074428	-0.00293116245252478	0.755	0.954333333333333
ICD_simple_ear	0.0867375463226743	0.000291960344776918	-0.00307405999076238	0.818	0.954333333333333
ICD_simple_gastrointestinal	0.115467836297631	0.000388629501986245	-0.00297706534817532	0.77	0.954333333333333
ICD_simple_skin	0.929205901285943	0.00311888154259645	-0.000237620539751626	0.123	0.3444
ICD_simple_fungal	0.566598351428496	0.00190410602052634	-0.00145648621509475	0.148	0.365647058823529
ICD_simple_chickenpox	1.77095604940929	0.00592747057085567	0.00258042501722211	0.082	0.3444
ICD_simple_teething	76.3648311776308	0.204531398784317	0.201853053325679	0.001	0.0084
ICD_simple_reflux	0.0580049631689859	0.000195264770515704	-0.00317108113934794	0.855	0.970540540540541
ICD_simple_constipation	0.390158058833748	0.0013119400500018	-0.00205064601043592	0.413	0.852
ICD_simple_NoroVirusInfection	0.129066436906435	0.000434378361074417	-0.00293116245252478	0.773	0.954333333333333
ICD_simple_CryptosporidiumInfection	3.08344683821601	0.0102752979902899	0.00694289158621675	0.043	0.301
ICD_simple_UnspecifiedVirusInfection	0.634969619245851	0.00213338378906937	-0.00122643646753318	0.116	0.3444
ICD_simple_Fever	0.90424580058683	0.00303535721069287	-0.000321426098361943	0.36	0.795789473684211
ICD_simple_GeneralSicknessSymptoms	0.177678268182203	0.000597885646114578	-0.00276710463790519	0.699	0.954333333333333
ICD_simple_Diarrea	0.0010467929873263	3.52454309043537e-06	-0.00336346695676437	0.979	0.991
FamilyStay	0.000271849289669769	9.15316635830273e-07	-0.00336608496849333	0.991	0.991
FOOD	25.8481464756384	0.148682324198726	0.142930177740609	0.001	0.0084
DayCare	37.2248384414149	0.111376636802355	0.10838463894647	0.001	0.0084
