F	r2	r2adj	p-value	FDR
InfantID	14.2323023440939	0.255042129094186	0.23712218030951	0.001	0.004
X.days	44.2900448112272	0.129772448638883	0.126842389543391	0.001	0.004
Holiday	0.152980737900575	0.000514821481920483	-0.00285044847941984	0.723	0.86572972972973
Gender	15.9913007859833	0.0510918378428602	0.0478968608659002	0.001	0.004
Siblings	0.934768681594304	0.00313749444460878	-0.00021894496803565	0.326	0.666
FurryPets	20.8287010881382	0.0655343618019008	0.0623880128517388	0.001	0.004
Secretor	16.5746220549754	0.0528570263318998	0.0496679927505257	0.001	0.004
Lewis	13.8978312553646	0.0858432206756574	0.0796664856802227	0.001	0.004
ABO	20.4578521527944	0.121441962433658	0.115505759477129	0.001	0.004
Consistency	22.1882581956298	0.130374788665647	0.124498942643118	0.001	0.004
ATC_level2_A01_teejel	0.349137478021789	0.0011741667757405	-0.00218888316777566	0.585	0.825
ATC_level2_A01_miconazole	1.40762008376515	0.00471710502355811	0.00136598416505151	0.272	0.5984
ATC_level2_A02	10.3305827266766	0.0336139105813105	0.0303600853644126	0.001	0.004
ATC_level2_A07_Sacharomyces	0.144369150620367	0.0004858552461655	-0.00287951224458816	0.682	0.86572972972973
ATC_level2_A07_antidiarrea	0.167815596128202	0.000564716592177247	-0.00280038537215899	0.696	0.86572972972973
ATC_level2_A07_Lactobacillus	0.465695525573797	0.00156554363269011	-0.00179618854363084	0.529	0.802620689655172
ATC_level2_D01	0.026148945395315	8.80358361987928e-05	-0.00327867111384772	0.896	0.896
ATC_level2_D06	1.29495958650555	0.00434120505522661	0.000988818540261116	0.193	0.471777777777778
ATC_level2_D07	6.82962950038835	0.0224784841149919	0.0191871658796887	0.017	0.0575384615384615
ATC_level2_R01	1.10525879727319	0.00370761254508705	0.000353092722006565	0.333	0.666
ATC_level2_R03	0.0214250878114475	7.21331392343611e-05	-0.00329462735524633	0.885	0.896
ATC_level2_R05	0.648006974944794	0.00217709159732201	-0.00118258149494288	0.44	0.802620689655172
ATC_level2_J01	0.0418195329298312	0.000140786684499807	-0.00322574265326292	0.853	0.896
ATC_level2_M01	3.74767872999365	0.0124612058381281	0.0091361593931385	0.041	0.1265
ATC_level2_N02	0.790828905307823	0.00265565231882709	-0.00070240945787714	0.405	0.774782608695652
ICD_simple_respiratory	2.25504935818068	0.00753554321979574	0.00419391205218567	0.128	0.331294117647059
ICD_simple_urinary	0.69638390719431	0.00233924207628739	-0.00101988505476891	0.623	0.830666666666667
ICD_simple_ear	1.72099606587604	0.00576121561102624	0.0024136102763832	0.239	0.553473684210526
ICD_simple_gastrointestinal	0.226196745137273	0.00076102560142513	-0.00260341538981579	0.6	0.825
ICD_simple_skin	6.82962950038835	0.0224784841149919	0.0191871658796887	0.017	0.0575384615384615
ICD_simple_fungal	0.526643676745353	0.00177007232104408	-0.00159097120649454	0.502	0.802620689655172
ICD_simple_chickenpox	0.682234738615177	0.0022918221479163	-0.00106746464619834	0.471	0.802620689655172
ICD_simple_teething	0.0868560158163306	0.000292358998917497	-0.00307365999435216	0.782	0.88225641025641
ICD_simple_reflux	0.0451411466024881	0.000151967295032136	-0.00321452439757719	0.863	0.896
ICD_simple_constipation	3.50261268456891	0.0116558476922313	0.00832808960365305	0.044	0.1265
ICD_simple_NoroVirusInfection	0.699784397823882	0.0023506379060347	-0.00100845085522439	0.585	0.825
ICD_simple_CryptosporidiumInfection	0.266317472114384	0.000895888489416115	-0.00246809841802698	0.759	0.878842105263158
ICD_simple_UnspecifiedVirusInfection	3.84639259868659	0.0127852375608089	0.00946128213172071	0.046	0.1265
ICD_simple_Fever	0.137293817733257	0.000462055152920234	-0.00290339247282745	0.728	0.86572972972973
ICD_simple_GeneralSicknessSymptoms	0.0483767298415543	0.000162858085185067	-0.00320359693809724	0.847	0.896
ICD_simple_Diarrea	0.496127681440965	0.0016676777788927	-0.00169371051141409	0.485	0.802620689655172
FamilyStay	0.368915966925555	0.00124060030190441	-0.00212222595970535	0.529	0.802620689655172
FOOD	18.6334016533216	0.11182272862729	0.105821530847745	0.001	0.004
DayCare	27.0406765238298	0.0834484016448509	0.0803623693271567	0.001	0.004
