F	r2	r2adj	p-value	FDR
InfantID	8.09003502606462	0.16290367701674	0.142767339350476	0.001	0.00733333333333333
X.days	15.7372608525655	0.0503210292552399	0.04712345696317	0.001	0.00733333333333333
Holiday	0.00953642928930282	3.21081585593236e-05	-0.0033347871001661	0.923	0.94753488372093
Gender	4.82514648957454	0.0159865622387471	0.0126733856806284	0.029	0.1276
Siblings	0.525260068687641	0.00176543016403507	-0.00159562899366184	0.454	0.674666666666667
FurryPets	15.7872272000026	0.0504727361833991	0.0472756746890671	0.001	0.00733333333333333
Secretor	5.44689424893073	0.0180094236459496	0.0147030580689999	0.022	0.107555555555556
Lewis	5.54321381765679	0.0361019785885148	0.0295891541195182	0.004	0.022
ABO	13.0909911131902	0.08126457614251	0.075056904359689	0.001	0.00733333333333333
Consistency	12.4097079176408	0.0773625741156038	0.0711285374542228	0.001	0.00733333333333333
ATC_level2_A01_teejel	1.46205797538888	0.00489863932892081	0.00154812969703155	0.25	0.50512
ATC_level2_A01_miconazole	1.90059565800314	0.00635862117912193	0.00301302731103814	0.164	0.424470588235294
ATC_level2_A02	0.757256587479444	0.00254320111676931	-0.000815239283510794	0.372	0.584571428571429
ATC_level2_A07_Sacharomyces	2.44599339715425	0.00816839580788825	0.00482889545707288	0.122	0.383428571428571
ATC_level2_A07_antidiarrea	1.24463998185482	0.00417321827453643	0.000820266147514626	0.287	0.50512
ATC_level2_A07_Lactobacillus	1.00960338539159	0.00338782164709622	3.22250869854157e-05	0.351	0.572
ATC_level2_D01	0.580921935666273	0.00195214777845154	-0.00140828270040894	0.486	0.689806451612903
ATC_level2_D06	0.467534716532952	0.0015717167823994	-0.00178999460890572	0.588	0.784
ATC_level2_D07	1.09390441014988	0.00366966380045386	0.00031501620382246	0.28	0.50512
ATC_level2_R01	0.000773876415569833	2.60563770750257e-06	-0.0033643889561048	0.984	0.984
ATC_level2_R03	1.1542246824827	0.00387123370031696	0.000517264790217076	0.302	0.511076923076923
ATC_level2_R05	1.48060446417831	0.00496047127362342	0.00161016983010021	0.238	0.50512
ATC_level2_J01	0.00751839042013226	2.53138050540837e-05	-0.00334160433028252	0.926	0.94753488372093
ATC_level2_M01	0.139353601387719	0.000468983995888549	-0.00289644030042147	0.71	0.844324324324324
ATC_level2_N02	0.0227224133348139	7.65005894168376e-05	-0.00329024519984422	0.893	0.94753488372093
ICD_simple_respiratory	0.150020552128646	0.000504864687035509	-0.00286043879886666	0.668	0.816444444444445
ICD_simple_urinary	0.642243334420054	0.0021577694322726	-0.00120196871778711	0.504	0.693
ICD_simple_ear	0.0464841943907686	0.000156487946715938	-0.003209988524844	0.841	0.94753488372093
ICD_simple_gastrointestinal	2.82332356879767	0.00941662421452622	0.00608132665295902	0.11	0.372307692307692
ICD_simple_skin	1.09390441014988	0.00366966380045386	0.00031501620382246	0.28	0.50512
ICD_simple_fungal	2.01947178296975	0.00675364641281787	0.00340938259602597	0.163	0.424470588235294
ICD_simple_chickenpox	1.62495153417713	0.00544144595362506	0.0020927639534688	0.208	0.50512
ICD_simple_teething	2.56401919679539	0.00855916943453408	0.00522098481983557	0.099	0.363
ICD_simple_reflux	2.12088105091776	0.0070903811310877	0.00374725110122609	0.144	0.4224
ICD_simple_constipation	0.0143567860171438	4.83370102795641e-05	-0.0033185036058474	0.896	0.94753488372093
ICD_simple_NoroVirusInfection	0.337025244666	0.00113347890121883	-0.00222970803850786	0.647	0.816444444444445
ICD_simple_CryptosporidiumInfection	0.651726037244113	0.00218955907268136	-0.00117007204155217	0.46	0.674666666666667
ICD_simple_UnspecifiedVirusInfection	1.43558480565779	0.00481036739165218	0.00145956054785301	0.263	0.50512
ICD_simple_Fever	0.199488969069854	0.000671229179302577	-0.00269351415679409	0.66	0.816444444444445
ICD_simple_GeneralSicknessSymptoms	3.65548716584023	0.0121583916538463	0.00883232563247882	0.052	0.208
ICD_simple_Diarrea	1.33996848219398	0.0044914145731498	0.00113953381413689	0.248	0.50512
FamilyStay	0.0682278689375131	0.000229670703686341	-0.00313655936128443	0.786	0.910105263157895
FOOD	16.9862154537953	0.102955361495351	0.0968942490730219	0.001	0.00733333333333333
DayCare	6.64347063883744	0.0218791816101305	0.0185858455212756	0.004	0.022
