F	r2	r2adj	p-value	FDR
InfantID	7.40080810972815	0.151122525971451	0.130702792919218	0.001	0.0088
X.days	6.89264930753237	0.0226811978612789	0.0193905621638422	0.008	0.032
Holiday	0.110295386760317	0.000371227077865954	-0.00299452636631625	0.771	0.8745
Gender	22.6054892590073	0.0707293523381506	0.0676004949386158	0.001	0.0088
Siblings	0.402402506132433	0.00135305734836536	-0.00200939026999025	0.504	0.792
FurryPets	6.87320787319443	0.0226186702055767	0.0193278239773127	0.006	0.0264
Secretor	0.241679618798304	0.000813074462196044	-0.00255119128035552	0.631	0.8745
Lewis	3.82099266468637	0.0251677491868694	0.0185810447894833	0.016	0.0498666666666667
ABO	7.47821651312267	0.0480981624360959	0.0416663932633667	0.002	0.011
Consistency	3.73659200772058	0.024625516879478	0.0180351487502853	0.021	0.05775
ATC_level2_A01_teejel	0.00427831952389725	1.44049087376935e-05	-0.00335254995688938	0.952	0.955
ATC_level2_A01_miconazole	0.463058783350452	0.00155669341008058	-0.00180506856496954	0.254	0.532190476190476
ATC_level2_A02	1.04421622628624	0.00350356144973279	0.000148354585927102	0.323	0.617913043478261
ATC_level2_A07_Sacharomyces	6.69054743986714	0.0220308056877929	0.0187379801177181	0.045	0.11
ATC_level2_A07_antidiarrea	21.3662061570285	0.0671120418681938	0.063971004972127	0.01	0.0338461538461538
ATC_level2_A07_Lactobacillus	17.0332591082012	0.0542403029429834	0.0510559268586164	0.017	0.0498666666666667
ATC_level2_D01	0.0185170876604089	6.23432095815893e-05	-0.00330445024762538	0.885	0.949756097560976
ATC_level2_D06	0.00614587979076208	2.06927697491133e-05	-0.00334624092462876	0.955	0.955
ATC_level2_D07	0.0923723432416011	0.000310921288598013	-0.00305503520537975	0.781	0.8745
ATC_level2_R01	1.19922391194463	0.00402155275997211	0.000668089974652064	0.147	0.3234
ATC_level2_R03	31.4105600915048	0.0956441841661636	0.092599215089282	0.001	0.0088
ATC_level2_R05	49.8314806563193	0.143676348415726	0.140793103797597	0.001	0.0088
ATC_level2_J01	0.823705084554644	0.00276574722056052	-0.000591943866238953	0.297	0.594
ATC_level2_M01	2.07462126547067	0.00693680144671707	0.0035931543135409	0.118	0.273263157894737
ATC_level2_N02	11.2851474273969	0.0366061989089327	0.033362448736909	0.01	0.0338461538461538
ICD_simple_respiratory	5.12849189251775	0.0169745390790294	0.0136646890422586	0.024	0.0621176470588235
ICD_simple_urinary	0.190669861173463	0.00064157418287233	-0.00272326900169695	0.59	0.8745
ICD_simple_ear	0.124870451474241	0.000420262535695863	-0.00294532580593487	0.739	0.8745
ICD_simple_gastrointestinal	38.7307572660948	0.115362552962038	0.112383975699283	0.002	0.011
ICD_simple_skin	0.0923723432416011	0.000310921288598013	-0.00305503520537975	0.781	0.8745
ICD_simple_fungal	0.14950867571779	0.000503142934289522	-0.00286216634876002	0.745	0.8745
ICD_simple_chickenpox	0.0631405719804298	0.000212549331629821	-0.00315373838105826	0.795	0.8745
ICD_simple_teething	0.494213214788542	0.00166125320371097	-0.00170015671816204	0.414	0.720923076923077
ICD_simple_reflux	0.0812081912298548	0.000273353510726203	-0.00309272947408612	0.746	0.8745
ICD_simple_constipation	0.398847759357685	0.00134112072848519	-0.00202136708050982	0.454	0.739851851851852
ICD_simple_NoroVirusInfection	0.00625285356576239	2.10529357738649e-05	-0.00334587954592402	0.939	0.955
ICD_simple_CryptosporidiumInfection	0.0781957942046556	0.000263216201362769	-0.00310290091580434	0.766	0.8745
ICD_simple_UnspecifiedVirusInfection	0.0689149962343101	0.000231983195667523	-0.00313423908313482	0.744	0.8745
ICD_simple_Fever	0.831351257184218	0.00279134904258729	-0.000566255842791241	0.39	0.715
ICD_simple_GeneralSicknessSymptoms	14.6701245826875	0.0470693962160477	0.0438608756645867	0.002	0.011
ICD_simple_Diarrea	9.94270395087668	0.0323927033381054	0.0291347663123078	0.006	0.0264
FamilyStay	0.181683670454689	0.000611355545909612	-0.00275358938491221	0.698	0.8745
FOOD	11.9954168036088	0.0749735026368472	0.0687233236006097	0.001	0.0088
DayCare	0.641801025702545	0.00215628659513159	-0.00120345654764575	0.426	0.720923076923077
