F	r2	r2adj	p-value	FDR
InfantID	4.3541057370742	0.094807949491141	0.0730335702692785	0.002	0.0176
X.days	1.92416243666335	0.00643695852813853	0.0030916284221727	0.167	0.668
Holiday	0.159875939394032	0.000538013212209841	-0.00282717866249649	0.615	0.902511627906977
Gender	8.5883924613851	0.0281044459582028	0.0248320703553685	0.007	0.0513333333333333
Siblings	9.13756616025793	0.0298479088171576	0.0265814034596397	0.001	0.0176
FurryPets	0.294700763206944	0.000991274861107162	-0.00237239088010122	0.594	0.902511627906977
Secretor	14.6459894040936	0.0469955972547523	0.0437868282219399	0.002	0.0176
Lewis	8.60347767773887	0.0549379733152748	0.0485524190809186	0.002	0.0176
ABO	7.47334281017532	0.0480683226789551	0.0416363518862453	0.002	0.0176
Consistency	0.471548923795046	0.003176022121498	-0.0035592750263298	0.668	0.902511627906977
ATC_level2_A01_teejel	0.115627725512354	0.000389167430866933	-0.00297652560808648	0.74	0.902511627906977
ATC_level2_A01_miconazole	0.150262010912507	0.00050567685821858	-0.00285962389310046	0.279	0.883142857142857
ATC_level2_A02	1.52480796836877	0.00510780989608855	0.00175800454220321	0.122	0.596444444444444
ATC_level2_A07_Sacharomyces	0.162008805396713	0.000545186802471806	-0.00281998091873192	0.57	0.902511627906977
ATC_level2_A07_antidiarrea	0.108511128287666	0.000365223897072448	-0.00300054975983977	0.778	0.902511627906977
ATC_level2_A07_Lactobacillus	0.0536733347394967	0.000180685645583699	-0.00318570935224249	0.858	0.902511627906977
ATC_level2_D01	0.0639031144893014	0.00021511571691924	-0.00315116335474097	0.823	0.902511627906977
ATC_level2_D06	0.0628364645696352	0.000211525835131281	-0.00315476532367298	0.624	0.902511627906977
ATC_level2_D07	0.0719805100937089	0.000242299896375664	-0.00312388764606086	0.831	0.902511627906977
ATC_level2_R01	0.217445903412117	0.000731605450518479	-0.00263293459846992	0.281	0.883142857142857
ATC_level2_R03	0.535693414952836	0.00180043412205252	-0.0015605071771998	0.272	0.883142857142857
ATC_level2_R05	0.381676242940415	0.00128345581934447	-0.00207922614759393	0.376	0.902511627906977
ATC_level2_J01	0.194411909157565	0.000654157350768055	-0.00271064346623273	0.649	0.902511627906977
ATC_level2_M01	0.063279609605887	0.000213017272579256	-0.00315326886455014	0.882	0.902511627906977
ATC_level2_N02	0.186169664020077	0.00062644121101109	-0.00273845292632546	0.68	0.902511627906977
ICD_simple_respiratory	0.250026953876872	0.000841133494382047	-0.00252303777331364	0.639	0.902511627906977
ICD_simple_urinary	0.0748598874088389	0.000251989978004907	-0.00311416493789407	0.505	0.902511627906977
ICD_simple_ear	0.028000876276987	9.42701570033139e-05	-0.00327241580206405	0.928	0.928
ICD_simple_gastrointestinal	0.241250955940545	0.000811633496914279	-0.00255263709737208	0.524	0.902511627906977
ICD_simple_skin	0.0719805100937089	0.000242299896375664	-0.00312388764606086	0.831	0.902511627906977
ICD_simple_fungal	0.206526548703858	0.00069489237367072	-0.00266977128837098	0.552	0.902511627906977
ICD_simple_chickenpox	0.093879182734724	0.000315991642079509	-0.00304994778000101	0.712	0.902511627906977
ICD_simple_teething	0.137105396560746	0.000461421323929787	-0.0029040284359223	0.727	0.902511627906977
ICD_simple_reflux	0.13792806605054	0.000464188691589315	-0.00290125175052669	0.427	0.902511627906977
ICD_simple_constipation	0.11744223087954	0.000395272084996881	-0.00297040039956542	0.774	0.902511627906977
ICD_simple_NoroVirusInfection	0.040089341087857	0.000134962729026865	-0.00323158621801345	0.822	0.902511627906977
ICD_simple_CryptosporidiumInfection	0.0616920127668525	0.00020767407722232	-0.0031586300504638	0.654	0.902511627906977
ICD_simple_UnspecifiedVirusInfection	0.0277568461278678	9.34486609015698e-05	-0.00327324006414598	0.866	0.902511627906977
ICD_simple_Fever	1.80740031290421	0.00604871335519648	0.00270207602642603	0.136	0.5984
ICD_simple_GeneralSicknessSymptoms	0.608762876407494	0.00204551395101328	-0.00131460216362966	0.481	0.902511627906977
ICD_simple_Diarrea	0.361222510007511	0.00121475997091502	-0.00214815329517615	0.519	0.902511627906977
FamilyStay	0.0484043945622739	0.000162951202047123	-0.00320350350771026	0.838	0.902511627906977
FOOD	3.93274924089726	0.0258848027205885	0.0193029432795113	0.016	0.100571428571429
DayCare	2.54721174997517	0.0085035401768362	0.00516516825823965	0.11	0.596444444444444
