F	r2	r2adj	p-value	FDR
InfantID	4.20929442152359	0.091944690829186	0.0701014359694069	0.002	0.0146666666666667
X.days	47.2739773422382	0.137314988798133	0.134410325460753	0.001	0.011
Holiday	1.29630333936515	0.00434569025781849	0.000993318844545232	0.104	0.269176470588235
Gender	5.6522412223032	0.018675695905888	0.0153715736698808	0.015	0.0733333333333333
Siblings	0.243086169876227	0.000817802603951238	-0.00254644721893094	0.646	0.992
FurryPets	12.3512236782809	0.0399262156826828	0.0366936440183147	0.002	0.0146666666666667
Secretor	0.0127883550827843	4.30565806732054e-05	-0.00332380181467817	0.911	0.992
Lewis	0.0325908786446726	0.000220160158322096	-0.00653510902979737	0.969	0.992
ABO	5.20990586653291	0.0340050196954723	0.0274780265853065	0.006	0.0377142857142857
Consistency	30.003291068195	0.168554698557233	0.162936824898836	0.001	0.011
ATC_level2_A01_teejel	0.0130174143979775	4.38277571511802e-05	-0.0033230280416463	0.939	0.992
ATC_level2_A01_miconazole	0.483650190093756	0.00162580427457005	-0.00173572500396668	0.387	0.76904347826087
ATC_level2_A02	0.963311376368437	0.0032329865442784	-0.000123131346144945	0.302	0.632761904761905
ATC_level2_A07_Sacharomyces	0.0863198350751127	0.000290554728750326	-0.00307547033950306	0.826	0.992
ATC_level2_A07_antidiarrea	5.23854660796667	0.0173324900703734	0.0140238452557956	0.063	0.1815
ATC_level2_A07_Lactobacillus	1.3652606140625	0.00457580286408904	0.00122420624073594	0.116	0.282526315789474
ATC_level2_D01	0.647848644285459	0.0021765608158643	-0.00118311406354343	0.155	0.341
ATC_level2_D06	3.84863435700363	0.0127925937414648	0.00946866308066163	0.054	0.169714285714286
ATC_level2_D07	6.34087056125287	0.0209034494742524	0.0176068280920108	0.047	0.159076923076923
ATC_level2_R01	0.127798838896391	0.000430114043168624	-0.00293544112840327	0.786	0.992
ATC_level2_R03	0.189164493606411	0.000636512081215129	-0.00272834814746759	0.684	0.992
ATC_level2_R05	3.67575063699884	0.0122249653628919	0.00889912349542699	0.066	0.1815
ATC_level2_J01	0.00378351991833249	1.27389620209291e-05	-0.00335422151285436	0.948	0.992
ATC_level2_M01	0.0434019038424945	0.000146113004242203	-0.00322039839978383	0.885	0.992
ATC_level2_N02	0.000931021817384794	3.13474376723891e-06	-0.00336385806854334	0.975	0.992
ICD_simple_respiratory	0.741378017662093	0.00249000667155545	-0.000868612834600935	0.402	0.76904347826087
ICD_simple_urinary	0.240816864124851	0.000810174277763925	-0.00255410122971833	0.601	0.992
ICD_simple_ear	0.0131310175394072	4.42102256368988e-05	-0.00332264428538798	0.925	0.992
ICD_simple_gastrointestinal	0.509770504834805	0.00171345802852052	-0.00164777611953171	0.466	0.854333333333333
ICD_simple_skin	6.34087056125287	0.0209034494742524	0.0176068280920108	0.047	0.159076923076923
ICD_simple_fungal	0.0059951659933783	2.01853366294094e-05	-0.0033467500662776	0.954	0.992
ICD_simple_chickenpox	0.000306160290203176	1.03084166532119e-06	-0.00336596905449071	0.992	0.992
ICD_simple_teething	0.0173257903431255	5.83325915315637e-05	-0.00330847436943982	0.935	0.992
ICD_simple_reflux	1.07129573128157	0.00359409224109715	0.000239190194770922	0.122	0.282526315789474
ICD_simple_constipation	0.0273182763115814	9.19722686455674e-05	-0.00327472142741958	0.894	0.992
ICD_simple_NoroVirusInfection	0.114234773926753	0.000384480985953681	-0.00298122783227561	0.712	0.992
ICD_simple_CryptosporidiumInfection	0.0835941975305474	0.000281382746012442	-0.0030846732043377	0.749	0.992
ICD_simple_UnspecifiedVirusInfection	0.0709950885105309	0.000238983575254051	-0.00312721513324665	0.797	0.992
ICD_simple_Fever	0.00306702429584829	1.03265744915604e-05	-0.00335664202290076	0.951	0.992
ICD_simple_GeneralSicknessSymptoms	5.91299208326168	0.0195204307434803	0.0162191527325156	0.014	0.0733333333333333
ICD_simple_Diarrea	6.14359185510191	0.0202662765110946	0.0169675097653408	0.022	0.088
FamilyStay	7.69730608082067	0.0252621402526577	0.0219801945969428	0.021	0.088
FOOD	38.5402795689463	0.206605670678764	0.20124489818335	0.001	0.011
DayCare	41.7823767499674	0.123331021969907	0.120379274569132	0.001	0.011
