F	r2	r2adj	p-value	FDR
InfantID	4.44452707518191	0.0965866515804782	0.0748550590068128	0.001	0.022
X.days	18.4058404666032	0.0583560546607953	0.0551855363263197	0.001	0.022
Holiday	0.198861481884508	0.000669119258710989	-0.00269563118149541	0.435	0.629333333333333
Gender	1.54866322264403	0.00518730583459053	0.00183776814379777	0.198	0.629333333333333
Siblings	5.29952356184169	0.0175307043140529	0.014222726887501	0.026	0.163428571428571
FurryPets	4.73729059706504	0.015700050158504	0.0123859089132465	0.026	0.163428571428571
Secretor	0.757760696682964	0.00254488982893336	-0.000813544885447381	0.449	0.629333333333333
Lewis	3.95047137912161	0.0259984147680927	0.0194173229759853	0.035	0.1925
ABO	2.79220760800703	0.0185169224079902	0.011885279991828	0.062	0.303111111111111
Consistency	3.61347268474328	0.0238334537212068	0.0172377338139177	0.026	0.163428571428571
ATC_level2_A01_teejel	0.189264223072043	0.000636847443217127	-0.00272801165630066	0.469	0.629333333333333
ATC_level2_A01_miconazole	0.145319386942214	0.000489051576656265	-0.00287630515204174	0.266	0.629333333333333
ATC_level2_A02	0.714187436468781	0.00239890292974764	-0.000960023323014259	0.456	0.629333333333333
ATC_level2_A07_Sacharomyces	0.178674790995823	0.000601236919578716	-0.00276374208069208	0.528	0.663771428571429
ATC_level2_A07_antidiarrea	0.163950696544216	0.000551717986518621	-0.00281342774416649	0.653	0.776540540540541
ATC_level2_A07_Lactobacillus	0.0995538580291476	0.000335085855015185	-0.00303078927678624	0.742	0.8217
ATC_level2_D01	0.13862990793729	0.000466549596665509	-0.00289888289627505	0.46	0.629333333333333
ATC_level2_D06	0.0556338493014787	0.000187284275947119	-0.0031790885042684	0.747	0.8217
ATC_level2_D07	0.214375391042526	0.000721282040145182	-0.0026432927678004	0.304	0.629333333333333
ATC_level2_R01	0.199509755073084	0.000671299071918065	-0.00269344402884975	0.438	0.629333333333333
ATC_level2_R03	0.64303113873225	0.00216041053026547	-0.00119931872720835	0.242	0.629333333333333
ATC_level2_R05	0.462284165559715	0.00155409337643094	-0.00180767735294141	0.312	0.629333333333333
ATC_level2_J01	0.428371504009521	0.0014402509815838	-0.00192190305551532	0.241	0.629333333333333
ATC_level2_M01	0.1673275212361	0.000563075095205891	-0.00280203239605603	0.724	0.8217
ATC_level2_N02	0.310094268013147	0.00104299946080408	-0.00232049212350294	0.578	0.706444444444444
ICD_simple_respiratory	0.603250506134624	0.00202702929187996	-0.00133314906067272	0.492	0.636705882352941
ICD_simple_urinary	0.0723980976966582	0.000243705231991459	-0.00312247757867534	0.469	0.629333333333333
ICD_simple_ear	0.213703330402373	0.000719022467698289	-0.00264555994823534	0.305	0.629333333333333
ICD_simple_gastrointestinal	0.310758094043893	0.00104522990031055	-0.00231825417409914	0.428	0.629333333333333
ICD_simple_skin	0.214375391042526	0.000721282040145182	-0.0026432927678004	0.304	0.629333333333333
ICD_simple_fungal	0.285973184357637	0.000961946442660768	-0.00240181804743123	0.264	0.629333333333333
ICD_simple_chickenpox	0.141286758432671	0.000475486796109666	-0.0028899156052502	0.41	0.629333333333333
ICD_simple_teething	0.262866433095782	0.000884289505278469	-0.00247973645598321	0.394	0.629333333333333
ICD_simple_reflux	0.000761908684420093	2.56534252479241e-06	-0.00336442938696169	0.992	0.992
ICD_simple_constipation	0.218769559641376	0.000736055666893125	-0.00262846939820149	0.217	0.629333333333333
ICD_simple_NoroVirusInfection	0.0304450264651823	0.000102497999699895	-0.00326416025619336	0.904	0.970146341463415
ICD_simple_CryptosporidiumInfection	0.0723980976966579	0.000243705231991458	-0.00312247757867534	0.472	0.629333333333333
ICD_simple_UnspecifiedVirusInfection	0.000108263635832889	3.64523893495647e-07	-0.00336663761575684	0.99	0.992
ICD_simple_Fever	1.19067591345053	0.00399300182610715	0.000639442909696752	0.229	0.629333333333333
ICD_simple_GeneralSicknessSymptoms	2.54212379303133	0.00848669883501198	0.00514827021156083	0.098	0.4312
ICD_simple_Diarrea	0.779315711308205	0.00261709148416386	-0.000741100127000571	0.36	0.629333333333333
FamilyStay	0.0372106507054916	0.000125272691000484	-0.00324130888243035	0.936	0.980571428571429
FOOD	5.63898375091285	0.0367028186026996	0.0301940538635287	0.005	0.055
DayCare	12.1858430403641	0.0394126811258083	0.0361783803888582	0.002	0.0293333333333333
