F	r2	r2adj	p-value	FDR
InfantID	3.30189998857328	0.0735826847379549	0.0512977321371496	0.005	0.044
X.days	11.1303499864087	0.036122212521096	0.0328768327652748	0.001	0.011
Holiday	0.0923159513277535	0.000310731534850189	-0.00305522559802918	0.739	0.797365853658537
Gender	0.649645304792027	0.00218258383653302	-0.00117707076334383	0.422	0.618933333333333
Siblings	0.120625159675944	0.000405980431722366	-0.00295965599780046	0.737	0.797365853658537
FurryPets	9.60331150224482	0.0313216170275269	0.0280600736505152	0.001	0.011
Secretor	0.293883173729298	0.000988527481938001	-0.00237514750970536	0.596	0.728444444444444
Lewis	2.55711613203721	0.0169843591437727	0.0103423615704198	0.065	0.3575
ABO	0.14651565199695	0.000988991549022469	-0.00576108283240306	0.867	0.868
Consistency	1.84074297235515	0.0122846626080515	0.00561091032837613	0.127	0.465666666666667
ATC_level2_A01_teejel	0.250564756171424	0.000842941228310054	-0.00252122395273946	0.339	0.581777777777778
ATC_level2_A01_miconazole	0.196094879416963	0.000659816474023745	-0.00270496528868991	0.215	0.537263157894737
ATC_level2_A02	27.9246121984371	0.0859418189637882	0.0828641819906022	0.001	0.011
ATC_level2_A07_Sacharomyces	0.282096983848068	0.000948920189645307	-0.00241488815988444	0.193	0.53075
ATC_level2_A07_antidiarrea	0.279505462633554	0.000940211005123216	-0.00242362666826024	0.23	0.537263157894737
ATC_level2_A07_Lactobacillus	0.18053634842289	0.000607497215804284	-0.00275746070602789	0.346	0.581777777777778
ATC_level2_D01	0.160793563879114	0.000541099523765235	-0.00282408195931971	0.48	0.66
ATC_level2_D06	0.0765648357660259	0.000257727619168995	-0.00310840797807299	0.623	0.740864864864865
ATC_level2_D07	0.237283915708934	0.000798297954358325	-0.0025660175407447	0.402	0.609931034482759
ATC_level2_R01	0.0577559376540107	0.000194426627480928	-0.00317192210441308	0.817	0.855904761904762
ATC_level2_R03	0.32044646640743	0.00107778146513592	-0.00228559300804543	0.515	0.666470588235294
ATC_level2_R05	0.647591017090237	0.00217569715540904	-0.00118398063194647	0.166	0.5104
ATC_level2_J01	0.513792128787237	0.00172695230399546	-0.00163423640878557	0.174	0.5104
ATC_level2_M01	0.307260052379762	0.00103347645235985	-0.00233004719594887	0.324	0.581777777777778
ATC_level2_N02	0.491944409573574	0.00165363943064047	-0.00170779612683214	0.232	0.537263157894737
ICD_simple_respiratory	0.148647660786418	0.000500246802254032	-0.00286507223208199	0.696	0.797365853658537
ICD_simple_urinary	0.0308052553676174	0.000103710641531383	-0.00326294353139289	0.868	0.868
ICD_simple_ear	0.492235343218331	0.00165461576719956	-0.00170681650294435	0.098	0.462
ICD_simple_gastrointestinal	0.479794820836408	0.00161286524056322	-0.00174870760374457	0.149	0.504307692307692
ICD_simple_skin	0.237283915708934	0.000798297954358325	-0.0025660175407447	0.402	0.609931034482759
ICD_simple_fungal	0.351058862555926	0.00118062085905735	-0.00218240735353836	0.268	0.565714285714286
ICD_simple_chickenpox	0.184365587608757	0.000620374450870656	-0.00274454011326775	0.298	0.581777777777778
ICD_simple_teething	0.349802701210245	0.00117640132272676	-0.00218664109706213	0.27	0.565714285714286
ICD_simple_reflux	40.8285647725389	0.120855869011636	0.117895787762517	0.015	0.0942857142857143
ICD_simple_constipation	0.532532557227299	0.0017898296789608	-0.00157114732548713	0.116	0.464
ICD_simple_NoroVirusInfection	0.212651778012404	0.00071548696443526	-0.00264910735554991	0.105	0.462
ICD_simple_CryptosporidiumInfection	0.0937718973749575	0.000315630640036941	-0.00305030999753853	0.47	0.66
ICD_simple_UnspecifiedVirusInfection	0.0825099941936643	0.000277734270507129	-0.00308833396427244	0.576	0.724114285714286
ICD_simple_Fever	0.103469850188326	0.000348262005288931	-0.00301756876236992	0.743	0.797365853658537
ICD_simple_GeneralSicknessSymptoms	0.906605381140664	0.00304325370691514	-0.000313503014610417	0.331	0.581777777777778
ICD_simple_Diarrea	0.654260280423369	0.00219805448041288	-0.00116154802975421	0.357	0.581777777777778
FamilyStay	0.28057541669034	0.000943806759984448	-0.00242001880648024	0.511	0.666470588235294
FOOD	3.96291226690686	0.0260781542534959	0.0194976012416953	0.015	0.0942857142857143
DayCare	11.035745923751	0.035826185985839	0.0325798095076768	0.001	0.011
