F	r2	r2adj	p-value	FDR
InfantID	11.8951558514515	0.222478319493347	0.203775048828239	0.001	0.00628571428571429
X.days	52.7318452607014	0.150777934509777	0.147918600955938	0.001	0.00628571428571429
Holiday	0.477205894581994	0.00160417633729928	-0.0017574257625752	0.554	0.716941176470588
Gender	52.2770452204396	0.149672146898305	0.146809090153855	0.001	0.00628571428571429
Siblings	38.5364156578025	0.11485017380976	0.111869871364675	0.001	0.00628571428571429
FurryPets	3.99987983145181	0.0132886426190322	0.00996638215646994	0.054	0.198
Secretor	7.56772585515545	0.0248474319920374	0.0215640900122126	0.009	0.0396
Lewis	13.1164539897548	0.081409773272374	0.0752030825512414	0.001	0.00628571428571429
ABO	4.44677983561619	0.0291693917077892	0.0226097254355445	0.009	0.0396
Consistency	5.46453641503328	0.0356078123499154	0.0290916489198473	0.003	0.0165
ATC_level2_A01_teejel	1.03089774673422	0.00345902976680717	0.000103672964675061	0.226	0.414333333333333
ATC_level2_A01_miconazole	0.669372761367232	0.00224871223786885	-0.00111071970745824	0.374	0.567448275862069
ATC_level2_A02	0.530762882902532	0.00178389245454736	-0.00157710454055504	0.48	0.64
ATC_level2_A07_Sacharomyces	0.134560810137029	0.000452861524321334	-0.00291261705640489	0.813	0.855904761904762
ATC_level2_A07_antidiarrea	0.223937070604721	0.000753428787774671	-0.00261103778196348	0.736	0.855904761904762
ATC_level2_A07_Lactobacillus	0.0253305800934792	8.52808750149636e-05	-0.00328143535099512	0.918	0.927
ATC_level2_D01	0.718621153527809	0.0024137595113919	-0.000945116719209382	0.266	0.450153846153846
ATC_level2_D06	0.351104812644278	0.00118077520803396	-0.00218225248486847	0.473	0.64
ATC_level2_D07	1.04468627894368	0.00350513304560627	0.000149931473369169	0.223	0.414333333333333
ATC_level2_R01	0.119651209676019	0.000402703790169643	-0.00296294367181638	0.817	0.855904761904762
ATC_level2_R03	0.572082096749617	0.001922499223444	-0.00143803108220086	0.476	0.64
ATC_level2_R05	2.36720110556303	0.00790734955873908	0.00456697026432396	0.085	0.267142857142857
ATC_level2_J01	1.76745243402244	0.00591581318387666	0.00256872837978206	0.14	0.385
ATC_level2_M01	1.30632392157469	0.00437913586410633	0.00102687706230209	0.184	0.410666666666667
ATC_level2_N02	2.01702114204898	0.00674550610645936	0.00340121488122858	0.093	0.2728
ICD_simple_respiratory	1.68358006016679	0.00563666760599178	0.00228864291779651	0.196	0.410666666666667
ICD_simple_urinary	0.124901038296364	0.000420365435074273	-0.00294522256009366	0.798	0.855904761904762
ICD_simple_ear	1.07217216580595	0.00359702201656565	0.000242129834803206	0.194	0.410666666666667
ICD_simple_gastrointestinal	0.211510952383202	0.00071165128061641	-0.00265295595412884	0.692	0.845777777777778
ICD_simple_skin	1.04468627894368	0.00350513304560627	0.000149931473369169	0.223	0.414333333333333
ICD_simple_fungal	1.3991776353759	0.00468894601675346	0.0013377303467762	0.166	0.405777777777778
ICD_simple_chickenpox	0.681161018127171	0.00228822346633381	-0.00107107544455398	0.345	0.542142857142857
ICD_simple_teething	1.08894499876163	0.0036530874996594	0.000298384090567483	0.262	0.450153846153846
ICD_simple_reflux	0.713470183766019	0.00239649950445851	-0.000962434840644288	0.298	0.48562962962963
ICD_simple_constipation	1.08735030186199	0.00364775727906893	0.000293035923106255	0.164	0.405777777777778
ICD_simple_NoroVirusInfection	0.137989408532335	0.000464395040186581	-0.00290104470715291	0.753	0.855904761904762
ICD_simple_CryptosporidiumInfection	0.352194883947919	0.0011844368059411	-0.00217857855834858	0.467	0.64
ICD_simple_UnspecifiedVirusInfection	0.259625030223696	0.000873394865506201	-0.0024906677780443	0.672	0.8448
ICD_simple_Fever	3.05921755850788	0.0101953793767771	0.00686270388646315	0.07	0.236923076923077
ICD_simple_GeneralSicknessSymptoms	5.28187972083442	0.0174733587263397	0.0141651882170007	0.022	0.088
ICD_simple_Diarrea	0.0750102628074406	0.000252496037081957	-0.00311365717491419	0.796	0.855904761904762
FamilyStay	0.00900131606482171	3.03065429833316e-05	-0.00333659478178761	0.927	0.927
FOOD	17.4606794715858	0.105527666919707	0.0994839349394343	0.001	0.00628571428571429
DayCare	45.6628905903391	0.133258931282787	0.130340611186096	0.001	0.00628571428571429
