F	r2	r2adj	p-value	FDR
InfantID	4.05861228535582	0.0889460585427546	0.0670306716348484	0.001	0.011
X.days	165.922209121654	0.358423523115199	0.356263332957337	0.001	0.011
Holiday	0.87918613105673	0.00295148560890024	-0.000405580096120461	0.196	0.392
Gender	3.33306432945759	0.0110978933901241	0.00776825666753189	0.064	0.176
Siblings	5.20933841253418	0.0172375163517387	0.0139285517603304	0.025	0.088
FurryPets	6.31657921059279	0.0208250377444986	0.017528152349699	0.012	0.0528
Secretor	3.06363701487146	0.0102099576121569	0.00687733120681056	0.074	0.191529411764706
Lewis	1.59289945988237	0.0106482290645723	0.00396341980149506	0.221	0.422782608695652
ABO	3.31942052781129	0.0219365136096407	0.0153279765394356	0.037	0.108533333333333
Consistency	3.75483939222901	0.0247427983665428	0.0181532226798303	0.026	0.088
ATC_level2_A01_teejel	16.7356763498021	0.0533432363973251	0.0501558398868784	0.002	0.0176
ATC_level2_A01_miconazole	0.388226743484349	0.00130545431382937	-0.00205715358410385	0.727	0.937081081081081
ATC_level2_A02	4.38894024674559	0.0145623799040283	0.0112444081191934	0.029	0.0911428571428572
ATC_level2_A07_Sacharomyces	0.807135740395691	0.00271026326615387	-0.000647614635306715	0.187	0.391809523809524
ATC_level2_A07_antidiarrea	0.584693497759986	0.00196479694868576	-0.00139559094037578	0.631	0.937081081081081
ATC_level2_A07_Lactobacillus	0.388226743484351	0.00130545431382938	-0.00205715358410385	0.736	0.937081081081081
ATC_level2_D01	21.2804836605554	0.0668607871139563	0.0637189042422862	0.004	0.0293333333333333
ATC_level2_D06	0.193335200468455	0.000650536797327719	-0.00271427621008868	0.908	0.938325581395349
ATC_level2_D07	0.247100462306792	0.000831296459822408	-0.0025329079292018	0.749	0.937081081081081
ATC_level2_R01	0.584693497759985	0.00196479694868576	-0.00139559094037578	0.625	0.937081081081081
ATC_level2_R03	1.79766949439913	0.00601634376011368	0.00266959744280759	0.152	0.352
ATC_level2_R05	0.284198661084497	0.000955983070625605	-0.00240780149816011	0.665	0.937081081081081
ATC_level2_J01	0.0897380350091784	0.000302057000025372	-0.00306392934004185	0.836	0.938325581395349
ATC_level2_M01	0.0815702409933654	0.000274571865656949	-0.00309150701695038	0.818	0.938325581395349
ATC_level2_N02	0.0163816454740632	5.51540133352534e-05	-0.00331166364991953	0.885	0.938325581395349
ICD_simple_respiratory	0.0704419280957942	0.000237121968912829	-0.00312908300762293	0.788	0.937081081081081
ICD_simple_urinary	0.193335200468455	0.00065053679732772	-0.00271427621008868	0.917	0.938325581395349
ICD_simple_ear	0.72045756791642	0.00241991287331024	-0.000938942638900819	0.184	0.391809523809524
ICD_simple_gastrointestinal	0.982429652430546	0.0032969381905385	-5.89643744766111e-05	0.367	0.672833333333333
ICD_simple_skin	0.247100462306792	0.000831296459822408	-0.0025329079292018	0.749	0.937081081081081
ICD_simple_fungal	7.58673111963075	0.0249082784786543	0.0216251413691548	0.02	0.08
ICD_simple_chickenpox	11.3091160851317	0.036681095352396	0.0334375973569496	0.01	0.0488888888888889
ICD_simple_teething	13.3732480138663	0.0430876311004382	0.0398657039324262	0.007	0.044
ICD_simple_reflux	0.388226743484354	0.00130545431382939	-0.00205715358410385	0.726	0.937081081081081
ICD_simple_constipation	0.584693497759984	0.00196479694868576	-0.00139559094037578	0.602	0.937081081081081
ICD_simple_NoroVirusInfection	0.000385213526048854	1.29701355697538e-06	-0.00336570198639752	0.992	0.992
ICD_simple_CryptosporidiumInfection	0.65483454275756	0.00219997952918683	-0.00115961649933438	0.143	0.349555555555556
ICD_simple_UnspecifiedVirusInfection	0.193335200468456	0.00065053679732772	-0.00271427621008868	0.914	0.938325581395349
ICD_simple_Fever	0.491799883782861	0.00165315441963437	-0.00170828277087187	0.521	0.91696
ICD_simple_GeneralSicknessSymptoms	5.99218388654581	0.0197766945987939	0.0164762794290929	0.01	0.0488888888888889
ICD_simple_Diarrea	0.327786269251665	0.00110244075525061	-0.00226085069001791	0.555	0.937081081081081
FamilyStay	0.122133629498138	0.000411055305797027	-0.00295456403660777	0.785	0.937081081081081
FOOD	50.9770943363987	0.256195792316751	0.251170088210783	0.001	0.011
DayCare	71.9282164959117	0.194965343608271	0.192254789209645	0.001	0.011
