F	r2	r2adj	p-value	FDR
InfantID	3.7809142039239	0.0833675610244042	0.0613179834545445	0.002	0.0146666666666667
X.days	88.2082153834266	0.228988406427486	0.226392407795929	0.001	0.011
Holiday	0.846780435342678	0.00284300684434123	-0.000514424109044898	0.171	0.3135
Gender	5.63968946423404	0.018634996203631	0.0153307369315893	0.017	0.0831111111111111
Siblings	11.3739009934782	0.0368834747585165	0.0336406581752118	0.001	0.011
FurryPets	6.44763754003367	0.0212479411350929	0.0179524796574334	0.008	0.044
Secretor	5.49053863272515	0.0181511086513406	0.0148452201282812	0.021	0.0924
Lewis	6.10328930239148	0.0396051851327793	0.0331160309782711	0.006	0.0377142857142857
ABO	2.80093081542528	0.0185736971269329	0.0119424383237364	0.055	0.134315789473684
Consistency	1.97816623323881	0.013189694759719	0.00652205756214941	0.139	0.288
ATC_level2_A01_teejel	3.93845148394034	0.0130872325039213	0.00976429389282329	0.058	0.134315789473684
ATC_level2_A01_miconazole	0.274075125680407	0.000921961074353809	-0.00244193804660808	0.741	0.95
ATC_level2_A02	2.42025126646287	0.00808312482614613	0.00474333736764843	0.109	0.2398
ATC_level2_A07_Sacharomyces	0.412693932095043	0.00138761371156965	-0.00197471755539458	0.617	0.95
ATC_level2_A07_antidiarrea	0.0220879035979266	7.43645152918577e-05	-0.00329238846613822	0.931	0.95
ATC_level2_A07_Lactobacillus	0.0777918429149073	0.00026185681007095	-0.00310426488417126	0.913	0.95
ATC_level2_D01	0.418867580128701	0.00140834232722594	-0.00195391914641974	0.163	0.311826086956522
ATC_level2_D06	0.351318190766967	0.00118149195673509	-0.00218153332287185	0.144	0.288
ATC_level2_D07	4.10378593817557	0.0136291409468301	0.0103080269432841	0.039	0.122571428571429
ATC_level2_R01	0.337690453939043	0.00113571358351341	-0.00222746583203026	0.693	0.95
ATC_level2_R03	5.44568383560066	0.0180054936362085	0.0146991148269028	0.026	0.104
ATC_level2_R05	17.605475546517	0.0559604867522846	0.0527819025325954	0.002	0.0146666666666667
ATC_level2_J01	0.835022994272952	0.0028036427209872	-0.0005539207715346	0.331	0.58256
ATC_level2_M01	0.101279069456292	0.000340890721754902	-0.00302496486504067	0.817	0.95
ATC_level2_N02	0.0638911599909654	0.000215075483396788	-0.00315120372372979	0.837	0.95
ICD_simple_respiratory	0.00499219957039458	1.68084702328509e-05	-0.00335013830259467	0.95	0.95
ICD_simple_urinary	0.136514505272614	0.000459433622622614	-0.00290602282982655	0.919	0.95
ICD_simple_ear	0.412693932095043	0.00138761371156965	-0.00197471755539458	0.627	0.95
ICD_simple_gastrointestinal	0.0751635251242851	0.000253011810992165	-0.00311313966439175	0.827	0.95
ICD_simple_skin	4.10378593817557	0.0136291409468301	0.0103080269432841	0.039	0.122571428571429
ICD_simple_fungal	0.00767348068682693	2.58359677947039e-05	-0.00334108040941827	0.942	0.95
ICD_simple_chickenpox	8.32914708843078	0.0272792400196844	0.0240040859456766	0.03	0.11
ICD_simple_teething	4.54147086546224	0.0150608500131927	0.0117445565788936	0.057	0.134315789473684
ICD_simple_reflux	0.0249451557681295	8.39833696629338e-05	-0.0032827372250519	0.943	0.95
ICD_simple_constipation	0.188100201720004	0.00063293315443091	-0.00273193912451042	0.761	0.95
ICD_simple_NoroVirusInfection	0.136514505272614	0.000459433622622615	-0.00290602282982655	0.908	0.95
ICD_simple_CryptosporidiumInfection	4.65782461072838	0.0154407551560747	0.012125740863671	0.048	0.134315789473684
ICD_simple_UnspecifiedVirusInfection	0.136514505272614	0.000459433622622614	-0.00290602282982655	0.921	0.95
ICD_simple_Fever	0.782210812570553	0.0026267882505006	-0.000731370711618995	0.378	0.639692307692308
ICD_simple_GeneralSicknessSymptoms	3.40690707656885	0.011340974512615	0.00801215624498064	0.055	0.134315789473684
ICD_simple_Diarrea	0.124139301762596	0.000417802814858199	-0.00294779380866084	0.734	0.95
FamilyStay	0.0304063922831665	0.000102367944926855	-0.00326429074886136	0.871	0.95
FOOD	30.6092252578209	0.171375387881767	0.165776572935022	0.001	0.011
DayCare	40.0645170012416	0.118863051375693	0.115896260302883	0.001	0.011
