F	r2	r2adj	p-value	FDR
InfantID	0.474096919318433	0.0112757995954354	-0.012507944056908	0.928	0.928
X.days	22.2388304890464	0.069662047235853	0.0665295962164451	0.001	0.0146666666666667
Holiday	0.130078677350466	0.000437783606188577	-0.00292774574193877	0.399	0.81495652173913
Gender	0.264932549067455	0.000891233778554503	-0.00247276880131575	0.67	0.848410256410256
Siblings	0.944798415851549	0.00317105188905786	-0.000185274535558166	0.372	0.81495652173913
FurryPets	0.157221955584998	0.000529086772821216	-0.00283613515723657	0.692	0.848410256410256
Secretor	0.592513149767644	0.00199102169438468	-0.00136927789586982	0.477	0.848410256410256
Lewis	0.377726343394059	0.00254570785455951	-0.00419384817345025	0.732	0.848410256410256
ABO	0.39243929989157	0.00264460441342619	-0.00409428339459117	0.717	0.848410256410256
Consistency	2.39851420894114	0.0159477254250598	0.00929872356982375	0.083	0.7392
ATC_level2_A01_teejel	0.130078677350466	0.000437783606188577	-0.00292774574193877	0.386	0.81495652173913
ATC_level2_A01_miconazole	0.0786174176395201	0.000264635059644828	-0.00310147728022159	0.694	0.848410256410256
ATC_level2_A02	0.118795514696471	0.000399824974016479	-0.00296583218095314	0.772	0.8492
ATC_level2_A07_Sacharomyces	0.130078677350465	0.000437783606188575	-0.00292774574193877	0.381	0.81495652173913
ATC_level2_A07_antidiarrea	0.119384507173509	0.00040180652424119	-0.00296384395884219	0.631	0.848410256410256
ATC_level2_A07_Lactobacillus	0.0821157862803438	0.000276407706546084	-0.00308966499477847	0.663	0.848410256410256
ATC_level2_D01	0.0864144339185458	0.000290873058208345	-0.00307515093822874	0.511	0.848410256410256
ATC_level2_D06	0.0430559415504658	0.0001449484870602	-0.0032215668378992	0.738	0.848410256410256
ATC_level2_D07	0.130078677350465	0.000437783606188573	-0.00292774574193877	0.422	0.81495652173913
ATC_level2_R01	0.0535747577693757	0.000180353856414833	-0.0031860422585468	0.84	0.866697674418605
ATC_level2_R03	0.272230169469148	0.000915760511212076	-0.00244815948706667	0.508	0.848410256410256
ATC_level2_R05	0.307858768941173	0.00103548816440951	-0.0023280287104579	0.172	0.81495652173913
ATC_level2_J01	0.0569543099118317	0.000191728586338406	-0.00317462922986911	0.824	0.866697674418605
ATC_level2_M01	0.174051917386504	0.000585690157883939	-0.00277934118838585	0.313	0.81495652173913
ATC_level2_N02	0.261467933176012	0.000879589053347437	-0.00248445273435172	0.214	0.81495652173913
ICD_simple_respiratory	0.971066586816867	0.00325892912335478	-9.71014183173136e-05	0.272	0.81495652173913
ICD_simple_urinary	0.042336035775597	0.000142525258657062	-0.00322399822532038	0.74	0.848410256410256
ICD_simple_ear	0.130078677350466	0.000437783606188576	-0.00292774574193877	0.394	0.81495652173913
ICD_simple_gastrointestinal	0.213957823526709	0.000719878114384348	-0.00264470142058393	0.353	0.81495652173913
ICD_simple_skin	0.130078677350465	0.000437783606188573	-0.00292774574193877	0.422	0.81495652173913
ICD_simple_fungal	0.174051917386503	0.000585690157883934	-0.00277934118838585	0.305	0.81495652173913
ICD_simple_chickenpox	0.0864144339185462	0.000290873058208346	-0.00307515093822874	0.523	0.848410256410256
ICD_simple_teething	0.174051917386504	0.000585690157883937	-0.00277934118838585	0.296	0.81495652173913
ICD_simple_reflux	0.0577225291969339	0.000194314184817263	-0.00317203492567142	0.847	0.866697674418605
ICD_simple_constipation	0.129351444954471	0.000435337149714183	-0.00293020043564018	0.426	0.81495652173913
ICD_simple_NoroVirusInfection	0.0430559415504656	0.000144948487060199	-0.0032215668378992	0.721	0.848410256410256
ICD_simple_CryptosporidiumInfection	0.0430559415504656	0.000144948487060199	-0.0032215668378992	0.748	0.848410256410256
ICD_simple_UnspecifiedVirusInfection	0.0430559415504666	0.000144948487060202	-0.0032215668378992	0.752	0.848410256410256
ICD_simple_Fever	0.931764529487356	0.00312744272487648	-0.00022903053194212	0.238	0.81495652173913
ICD_simple_GeneralSicknessSymptoms	2.44947844338876	0.00817993892032056	0.00484047743520377	0.084	0.7392
ICD_simple_Diarrea	0.702814147204266	0.0023607910768917	-0.000998263498606988	0.188	0.81495652173913
FamilyStay	0.307858768941174	0.00103548816440951	-0.0023280287104579	0.191	0.81495652173913
FOOD	9.68968368077996	0.0614477970568788	0.0551062281180738	0.001	0.0146666666666667
DayCare	12.5953960468943	0.0406834087577531	0.0374533865650183	0.001	0.0146666666666667
