F	r2	r2adj	p-value	FDR
InfantID	4.04771307546996	0.088728391840427	0.0668077689637362	0.001	0.022
X.days	6.27510282350345	0.0206911242138968	0.0173937879317887	0.009	0.0792
Holiday	0.00181166687422944	6.09985125700668e-06	-0.00336088297752668	0.982	1
Gender	0.806260275633296	0.00270733152112741	-0.000650556251528656	0.368	0.596129032258065
Siblings	2.09179656367613	0.00699382794081678	0.00365037281603842	0.163	0.409894736842105
FurryPets	11.8266838783701	0.0382955375806451	0.0350574754176171	0.001	0.022
Secretor	3.14297290003776	0.0104715858234819	0.00713984032120418	0.072	0.3168
Lewis	2.1514999880711	0.0143288611052306	0.00766892097756322	0.112	0.352
ABO	3.37636177232944	0.0223044188194158	0.0156983675952226	0.031	0.194857142857143
Consistency	7.18124571800112	0.0462765051586907	0.039832427490844	0.002	0.0293333333333333
ATC_level2_A01_teejel	0.296704919189029	0.00099800944403228	-0.00236563362181275	0.42	0.596129032258065
ATC_level2_A01_miconazole	0.0472260973311618	0.000158985148427838	-0.00320748291504547	0.888	0.930285714285714
ATC_level2_A02	8.55191806338895	0.0279884286689858	0.024715662435548	0.016	0.117333333333333
ATC_level2_A07_Sacharomyces	0.100540010648936	0.00033840399834121	-0.0030274599612603	0.784	0.8624
ATC_level2_A07_antidiarrea	0.170048723835436	0.000572226994495884	-0.00279284968229021	0.684	0.813405405405406
ATC_level2_A07_Lactobacillus	0.158852416685705	0.000534570703156967	-0.00283063276248896	0.634	0.774888888888889
ATC_level2_D01	0.226562866833768	0.000762256457325028	-0.00260218038962012	0.263	0.482166666666667
ATC_level2_D06	0.111317839047417	0.000374667110822483	-0.00299107475075733	0.405	0.596129032258065
ATC_level2_D07	0.260130991681292	0.000875095462057009	-0.0024889614555792	0.557	0.720823529411765
ATC_level2_R01	3.74883907224177	0.012465015937572	0.00913998232120017	0.061	0.303111111111111
ATC_level2_R03	0.572580506787245	0.00192417092264381	-0.00143635375438422	0.401	0.596129032258065
ATC_level2_R05	0.726335561274583	0.00243960803771454	-0.000919181160811799	0.199	0.435809523809524
ATC_level2_J01	14.5347384551309	0.0466552735890939	0.0434453586853534	0.004	0.044
ATC_level2_M01	0.463620072860992	0.00155857739090055	-0.00180317824077991	0.168	0.409894736842105
ATC_level2_N02	0.610809522473544	0.00205237680531029	-0.00130771620207915	0.235	0.47
ICD_simple_respiratory	2.37723390349598	0.00794059679321601	0.00460032944235145	0.107	0.352
ICD_simple_urinary	0.525056374103654	0.00176474674268595	-0.00159631471609267	0.087	0.348
ICD_simple_ear	0.348960489252964	0.00117357225220761	-0.00218947969307126	0.177	0.409894736842105
ICD_simple_gastrointestinal	0.253540343537424	0.000852943057446535	-0.0025111884474105	0.604	0.759314285714286
ICD_simple_skin	0.260130991681292	0.000875095462057009	-0.0024889614555792	0.557	0.720823529411765
ICD_simple_fungal	0.363305852700708	0.00122175751193952	-0.00214113219340728	0.416	0.596129032258065
ICD_simple_chickenpox	0.225787556156424	0.000759649955048954	-0.00260479566799798	0.256	0.482166666666667
ICD_simple_teething	0.380600264697616	0.0012798422774009	-0.00208285185634538	0.374	0.596129032258065
ICD_simple_reflux	0.615540704087298	0.00206824113630315	-0.00129179845583072	0.124	0.363733333333333
ICD_simple_constipation	0.339567241696632	0.001142018349077	-0.00222113983829986	0.208	0.435809523809524
ICD_simple_NoroVirusInfection	2.32422385045098e-05	7.82566891772698e-08	-0.00336692484682377	1	1
ICD_simple_CryptosporidiumInfection	0.349928913694033	0.00117682528115082	-0.0021862157111685	0.112	0.352
ICD_simple_UnspecifiedVirusInfection	0.11324482534216	0.000381150377219741	-0.00298456965518024	0.359	0.596129032258065
ICD_simple_Fever	0.476213263074635	0.00160084484689031	-0.00176076847012352	0.512	0.704
ICD_simple_GeneralSicknessSymptoms	0.029169538139658	9.82042881007769e-05	-0.00326846842473394	0.868	0.930285714285714
ICD_simple_Diarrea	0.103337160290786	0.000347815548887739	-0.00301801672199131	0.753	0.849538461538462
FamilyStay	0.809540815790441	0.00271831726268025	-0.000639533520947033	0.152	0.409894736842105
FOOD	2.44520870932995	0.0162531510993763	0.00960621293112884	0.062	0.303111111111111
DayCare	0.110764594263685	0.000372805725887937	-0.00299294240298109	0.751	0.849538461538462
