F	r2	r2adj	p-value	FDR
InfantID	4.8416991215941	0.104317449873605	0.0827718215200487	0.001	0.011
X.days	41.6642575805207	0.123025257752849	0.120072480842925	0.001	0.011
Holiday	0.247514163527283	0.000832687076370688	-0.00253151263044282	0.691	0.970095238095238
Gender	9.48449333737785	0.0309460789813511	0.0276832711664735	0.002	0.0176
Siblings	0.64540041893501	0.00216835340988508	-0.00119134910388641	0.404	0.766333333333333
FurryPets	0.0222038227335225	7.47547572126092e-05	-0.00329199691027138	0.88	0.970095238095238
Secretor	0.186897584747769	0.00062888904681429	-0.00273599684865089	0.674	0.970095238095238
Lewis	6.10255156211936	0.0396005874027296	0.0331114021824778	0.004	0.0251428571428571
ABO	7.04278129958907	0.0454247610921033	0.0389749283967796	0.003	0.022
Consistency	2.73368476600761	0.018135858419777	0.0115016412469376	0.062	0.207428571428571
ATC_level2_A01_teejel	0.00200206254239246	6.74090588106833e-06	-0.00336023976446964	0.994	0.994
ATC_level2_A01_miconazole	0.0717586397088889	0.00024155321945604	-0.00312463683704411	0.843	0.970095238095238
ATC_level2_A02	3.31248258863889	0.0110301195610849	0.00770025464378221	0.066	0.207428571428571
ATC_level2_A07_Sacharomyces	0.734776319142939	0.00246788879763018	-0.000890805179482257	0.188	0.435368421052632
ATC_level2_A07_antidiarrea	0.133260430961807	0.000448487088818419	-0.00291700622064694	0.831	0.970095238095238
ATC_level2_A07_Lactobacillus	0.0872331173966871	0.000293627957288277	-0.00307238676339439	0.85	0.970095238095238
ATC_level2_D01	0.0298957420114892	0.000100648932784381	-0.00326601554892347	0.915	0.970095238095238
ATC_level2_D06	0.0291028196765427	9.7979690879687e-05	-0.00326869377817451	0.921	0.970095238095238
ATC_level2_D07	0.499519045491967	0.00167905832955509	-0.0016822916423993	0.532	0.836
ATC_level2_R01	0.576607160197148	0.0019376763708	-0.00142280283333873	0.486	0.822461538461538
ATC_level2_R03	0.753063366368785	0.00252915405085919	-0.00082933364593929	0.414	0.766333333333333
ATC_level2_R05	0.387998745807648	0.00130468864730244	-0.00205792182863251	0.559	0.848137931034483
ATC_level2_J01	3.39334258561256	0.0112963308587488	0.00796736227578154	0.056	0.205333333333333
ATC_level2_M01	0.711256807014425	0.00238908267911241	-0.000969876638466483	0.418	0.766333333333333
ATC_level2_N02	0.172900468595984	0.000581817750956922	-0.00278322663371999	0.741	0.970095238095238
ICD_simple_respiratory	1.71261588434271	0.00573332291062593	0.00238562366116668	0.183	0.435368421052632
ICD_simple_urinary	0.312680026938635	0.00105168749247527	-0.00231177483919986	0.15	0.388235294117647
ICD_simple_ear	0.000381191666747705	1.28347197811072e-06	-0.00336571557357068	0.992	0.994
ICD_simple_gastrointestinal	0.0981290205743845	0.000330291614080104	-0.00303559965994649	0.797	0.970095238095238
ICD_simple_skin	0.499519045491967	0.00167905832955509	-0.0016822916423993	0.532	0.836
ICD_simple_fungal	0.0225300959159741	7.58531546704505e-05	-0.00329089481450584	0.926	0.970095238095238
ICD_simple_chickenpox	4.56790837910812	0.0151471965424308	0.0118311938371866	0.055	0.205333333333333
ICD_simple_teething	0.771474360257859	0.00259082694846885	-0.000767453095475767	0.401	0.766333333333333
ICD_simple_reflux	0.0441826700136672	0.000148741071501641	-0.00321776148381314	0.902	0.970095238095238
ICD_simple_constipation	0.639420334302854	0.00214830526677101	-0.00121146474916567	0.442	0.77792
ICD_simple_NoroVirusInfection	0.218557067180454	0.000735341256404301	-0.00262918621411279	0.79	0.970095238095238
ICD_simple_CryptosporidiumInfection	1.49568184696169	0.00501073193992977	0.00166059972423938	0.124	0.341
ICD_simple_UnspecifiedVirusInfection	2.87279369966558	0.0095800411375191	0.00624529380128191	0.09	0.264
ICD_simple_Fever	4.48525649942388	0.0148772001374218	0.0115602883533727	0.043	0.205333333333333
ICD_simple_GeneralSicknessSymptoms	0.841870803192046	0.00282656968585971	-0.000530916611494181	0.354	0.766333333333333
ICD_simple_Diarrea	9.08320323470868	0.0296756017276243	0.0264085162115557	0.008	0.044
FamilyStay	4.06328845792425	0.0134964594279722	0.0101748986853054	0.048	0.205333333333333
FOOD	18.8667940047709	0.113064999644157	0.107072195587698	0.001	0.011
DayCare	60.7584495807238	0.16983092824762	0.167035746187848	0.001	0.011
