F	r2	r2adj	p-value	FDR
InfantID	9.93487106112181	0.192886523240805	0.173471422425292	0.001	0.00733333333333333
X.days	6.54748448889393	0.0215698855153368	0.0182755080254895	0.018	0.0792
Holiday	0.118199965175001	0.000397821355907699	-0.00296784254525084	0.8	0.9207
Gender	4.07895140547587e-05	1.37338412298962e-07	-0.00336686556617227	0.994	0.994
Siblings	0.0444669704297236	0.000149698026303079	-0.0032168013069418	0.825	0.9207
FurryPets	16.7612011074434	0.0534202477816998	0.0502331105688437	0.001	0.00733333333333333
Secretor	0.22370047724167	0.000752633376418107	-0.00261183587147262	0.623	0.870666666666667
Lewis	3.55239177338067	0.0234400244813862	0.0168416462684225	0.032	0.108307692307692
ABO	0.112757854202316	0.000761297377997045	-0.00599031547755713	0.9	0.965853658536585
Consistency	0.0427632677467845	0.000288857535504413	-0.00646594748114748	0.957	0.98846511627907
ATC_level2_A01_teejel	0.268781786050923	0.000904170913730084	-0.00245978810676251	0.653	0.870666666666667
ATC_level2_A01_miconazole	3.09169412372297	0.0103024981506096	0.006970183329568	0.07	0.171111111111111
ATC_level2_A02	124.351439854648	0.295125228235948	0.292751912506102	0.001	0.00733333333333333
ATC_level2_A07_Sacharomyces	3.90842367362172	0.0129887479582857	0.00966547774939086	0.055	0.144941176470588
ATC_level2_A07_antidiarrea	4.23313999125521	0.0140527034687422	0.0107330156016336	0.047	0.143733333333333
ATC_level2_A07_Lactobacillus	4.0579226548381	0.0134788768189651	0.0101572568755947	0.049	0.143733333333333
ATC_level2_D01	0.19570609391674	0.000658509157110415	-0.0027062770073436	0.729	0.9207
ATC_level2_D06	1.90004734614508	0.00635679841142582	0.00301119840607711	0.106	0.222095238095238
ATC_level2_D07	0.0947165257364217	0.000318809189352301	-0.00304712074603719	0.806	0.9207
ATC_level2_R01	3.22060920173351	0.0107274754064916	0.00739659148530125	0.056	0.144941176470588
ATC_level2_R03	1.24090186085068	0.00416073668335956	0.000807742530778421	0.259	0.474833333333333
ATC_level2_R05	0.199017350657482	0.000669643367032627	-0.00269510530849915	0.649	0.870666666666667
ATC_level2_J01	1.26152148220002	0.00422958173059311	0.000876819379517668	0.281	0.49456
ATC_level2_M01	0.0844468024387136	0.000284251846058002	-0.00308179444402268	0.806	0.9207
ATC_level2_N02	0.410999267434593	0.00138192356182839	-0.00198042686388922	0.516	0.810857142857143
ICD_simple_respiratory	22.2227579789726	0.0696152057568416	0.0664825970220162	0.001	0.00733333333333333
ICD_simple_urinary	0.455426908299205	0.00153107614486256	-0.00183077208360594	0.157	0.300347826086957
ICD_simple_ear	0.458626640390884	0.0015418165731846	-0.00181999549222556	0.565	0.833066666666667
ICD_simple_gastrointestinal	8.03570918270137	0.02634350320568	0.0230651985026689	0.014	0.0684444444444444
ICD_simple_skin	0.0947165257364217	0.000318809189352301	-0.00304712074603719	0.806	0.9207
ICD_simple_fungal	0.822537650118142	0.00276183816244444	-0.000595866086166685	0.394	0.666769230769231
ICD_simple_chickenpox	0.43582035605962	0.00146525847336713	-0.00189681136342301	0.568	0.833066666666667
ICD_simple_teething	0.556388477206272	0.00186985895363794	-0.00149084859197268	0.452	0.736592592592593
ICD_simple_reflux	7.11534292840104	0.0233968561397977	0.0201086300661943	0.022	0.088
ICD_simple_constipation	1.23537339804952	0.00414227656489523	0.000789220257032874	0.144	0.288
ICD_simple_NoroVirusInfection	3.60035316928284	0.0119772087135749	0.00865053264863747	0.084	0.1848
ICD_simple_CryptosporidiumInfection	6.64755398233665	0.0218923350284038	0.0185990432271527	0.027	0.099
ICD_simple_UnspecifiedVirusInfection	0.0941813787835036	0.000317008493220626	-0.00304892750511887	0.837	0.9207
ICD_simple_Fever	9.05388974747209	0.0295826651801176	0.0263152667463806	0.006	0.033
ICD_simple_GeneralSicknessSymptoms	12.0303506900028	0.0389293500238455	0.0356934219094477	0.001	0.00733333333333333
ICD_simple_Diarrea	2.83614708819538	0.009458989904113	0.00612383498796532	0.084	0.1848
FamilyStay	0.00267727841331293	9.01432417325727e-06	-0.00335795869157041	0.966	0.98846511627907
FOOD	21.2715999360644	0.12566549819402	0.119757832641277	0.001	0.00733333333333333
DayCare	11.3901436340059	0.0369342012678705	0.0336915554808935	0.002	0.0125714285714286
