F	r2	r2adj	p-value	FDR
InfantID	1.91090344938348	0.0439466643249231	0.0209488177622924	0.051	0.21675
X.days	79.9534540190676	0.212104314648416	0.20945146722299	0.001	0.00566666666666667
Siblings	0.0847018072415503	0.000285109959302138	-0.00308093344150828	0.773	0.916866666666667
FurryPets	1.59544202017054	0.0053431559751095	0.00199414303226475	0.221	0.626166666666667
Secretor	0.588480207800252	0.00197749659996694	-0.00138284852932613	0.475	0.897222222222222
Lewis	2.16163009044861	0.0143953557852733	0.00773586494598455	0.093	0.3162
ABO	0.373564840515426	0.00251773178677054	-0.00422201326872429	0.683	0.916866666666667
Consistency	0.231352294141906	0.00156075142377993	-0.00518545971524853	0.809	0.916866666666667
ATC_level2_J01	0.170712378764125	0.000574458961307531	-0.00279061020043891	0.706	0.916866666666667
ATC_level2_M01	0.0102216740594619	3.44152265260394e-05	-0.00333247226429378	0.939	0.979
ATC_level2_N02	0.143400033619027	0.000482595385267863	-0.0028827830814484	0.744	0.916866666666667
ICD_simple_respiratory	0.692030312558505	0.00232465179478239	-0.00103452446180086	0.426	0.897222222222222
ICD_simple_Fever	0.90424580058683	0.00303535721069287	-0.000321426098361943	0.36	0.874285714285714
ICD_simple_GeneralSicknessSymptoms	0.177678268182203	0.000597885646114578	-0.00276710463790519	0.699	0.916866666666667
ICD_simple_Diarrea	0.0010467929873263	3.52454309043537e-06	-0.00336346695676437	0.979	0.979
FOOD	25.8481464756384	0.148682324198726	0.142930177740609	0.001	0.00566666666666667
DayCare	37.2248384414149	0.111376636802355	0.10838463894647	0.001	0.00566666666666667
