F	r2	r2adj	p-value	FDR
InfantID	14.2323023440939	0.255042129094186	0.23712218030951	0.001	0.00188888888888889
X.days	44.2900448112272	0.129772448638883	0.126842389543391	0.001	0.00188888888888889
Siblings	0.934768681594304	0.00313749444460878	-0.00021894496803565	0.326	0.461833333333333
FurryPets	20.8287010881382	0.0655343618019008	0.0623880128517388	0.001	0.00188888888888889
Secretor	16.5746220549754	0.0528570263318998	0.0496679927505257	0.001	0.00188888888888889
Lewis	13.8978312553646	0.0858432206756574	0.0796664856802227	0.001	0.00188888888888889
ABO	20.4578521527944	0.121441962433658	0.115505759477129	0.001	0.00188888888888889
Consistency	22.1882581956298	0.130374788665647	0.124498942643118	0.001	0.00188888888888889
ATC_level2_J01	0.0418195329298312	0.000140786684499807	-0.00322574265326292	0.853	0.853
ATC_level2_M01	3.74767872999365	0.0124612058381281	0.0091361593931385	0.041	0.0697
ATC_level2_N02	0.790828905307823	0.00265565231882709	-0.00070240945787714	0.405	0.529615384615385
ICD_simple_respiratory	2.25504935818068	0.00753554321979574	0.00419391205218567	0.128	0.197818181818182
ICD_simple_Fever	0.137293817733257	0.000462055152920234	-0.00290339247282745	0.728	0.825066666666667
ICD_simple_GeneralSicknessSymptoms	0.0483767298415543	0.000162858085185067	-0.00320359693809724	0.847	0.853
ICD_simple_Diarrea	0.496127681440965	0.0016676777788927	-0.00169371051141409	0.485	0.588928571428571
FOOD	18.6334016533216	0.11182272862729	0.105821530847745	0.001	0.00188888888888889
DayCare	27.0406765238298	0.0834484016448509	0.0803623693271567	0.001	0.00188888888888889
