F	r2	r2adj	p-value	FDR
InfantID	8.09003502606462	0.16290367701674	0.142767339350476	0.001	0.00283333333333333
X.days	15.7372608525655	0.0503210292552399	0.04712345696317	0.001	0.00283333333333333
Siblings	0.525260068687641	0.00176543016403507	-0.00159562899366184	0.454	0.643166666666667
FurryPets	15.7872272000026	0.0504727361833991	0.0472756746890671	0.001	0.00283333333333333
Secretor	5.44689424893073	0.0180094236459496	0.0147030580689999	0.022	0.0415555555555556
Lewis	5.54321381765679	0.0361019785885148	0.0295891541195182	0.004	0.0085
ABO	13.0909911131902	0.08126457614251	0.075056904359689	0.001	0.00283333333333333
Consistency	12.4097079176408	0.0773625741156038	0.0711285374542228	0.001	0.00283333333333333
ATC_level2_J01	0.00751839042013226	2.53138050540837e-05	-0.00334160433028252	0.926	0.926
ATC_level2_M01	0.139353601387719	0.000468983995888549	-0.00289644030042147	0.71	0.804666666666667
ATC_level2_N02	0.0227224133348139	7.65005894168376e-05	-0.00329024519984422	0.893	0.926
ICD_simple_respiratory	0.150020552128646	0.000504864687035509	-0.00286043879886666	0.668	0.804666666666667
ICD_simple_Fever	0.199488969069854	0.000671229179302577	-0.00269351415679409	0.66	0.804666666666667
ICD_simple_GeneralSicknessSymptoms	3.65548716584023	0.0121583916538463	0.00883232563247882	0.052	0.0884
ICD_simple_Diarrea	1.33996848219398	0.0044914145731498	0.00113953381413689	0.248	0.383272727272727
FOOD	16.9862154537953	0.102955361495351	0.0968942490730219	0.001	0.00283333333333333
DayCare	6.64347063883744	0.0218791816101305	0.0185858455212756	0.004	0.0085
