F	r2	r2adj	p-value	FDR
InfantID	7.40080810972815	0.151122525971451	0.130702792919218	0.001	0.0085
X.days	6.89264930753237	0.0226811978612789	0.0193905621638422	0.008	0.0194285714285714
Siblings	0.402402506132433	0.00135305734836536	-0.00200939026999025	0.504	0.5355
FurryPets	6.87320787319443	0.0226186702055767	0.0193278239773127	0.006	0.017
Secretor	0.241679618798304	0.000813074462196044	-0.00255119128035552	0.631	0.631
Lewis	3.82099266468637	0.0251677491868694	0.0185810447894833	0.016	0.0302222222222222
ABO	7.47821651312267	0.0480981624360959	0.0416663932633667	0.002	0.0085
Consistency	3.73659200772058	0.024625516879478	0.0180351487502853	0.021	0.0357
ATC_level2_J01	0.823705084554644	0.00276574722056052	-0.000591943866238953	0.297	0.388384615384615
ATC_level2_M01	2.07462126547067	0.00693680144671707	0.0035931543135409	0.118	0.167166666666667
ATC_level2_N02	11.2851474273969	0.0366061989089327	0.033362448736909	0.01	0.02125
ICD_simple_respiratory	5.12849189251775	0.0169745390790294	0.0136646890422586	0.024	0.0370909090909091
ICD_simple_Fever	0.831351257184218	0.00279134904258729	-0.000566255842791241	0.39	0.473571428571429
ICD_simple_GeneralSicknessSymptoms	14.6701245826875	0.0470693962160477	0.0438608756645867	0.002	0.0085
ICD_simple_Diarrea	9.94270395087668	0.0323927033381054	0.0291347663123078	0.006	0.017
FOOD	11.9954168036088	0.0749735026368472	0.0687233236006097	0.001	0.0085
DayCare	0.641801025702545	0.00215628659513159	-0.00120345654764575	0.426	0.4828
