F	r2	r2adj	p-value	FDR
InfantID	4.3541057370742	0.094807949491141	0.0730335702692785	0.002	0.0068
X.days	1.92416243666335	0.00643695852813853	0.0030916284221727	0.167	0.315444444444444
Siblings	9.13756616025793	0.0298479088171576	0.0265814034596397	0.001	0.0068
FurryPets	0.294700763206944	0.000991274861107162	-0.00237239088010122	0.594	0.7225
Secretor	14.6459894040936	0.0469955972547523	0.0437868282219399	0.002	0.0068
Lewis	8.60347767773887	0.0549379733152748	0.0485524190809186	0.002	0.0068
ABO	7.47334281017532	0.0480683226789551	0.0416363518862453	0.002	0.0068
Consistency	0.471548923795046	0.003176022121498	-0.0035592750263298	0.668	0.7225
ATC_level2_J01	0.194411909157565	0.000654157350768055	-0.00271064346623273	0.649	0.7225
ATC_level2_M01	0.063279609605887	0.000213017272579256	-0.00315326886455014	0.882	0.882
ATC_level2_N02	0.186169664020077	0.00062644121101109	-0.00273845292632546	0.68	0.7225
ICD_simple_respiratory	0.250026953876872	0.000841133494382047	-0.00252303777331364	0.639	0.7225
ICD_simple_Fever	1.80740031290421	0.00604871335519648	0.00270207602642603	0.136	0.289
ICD_simple_GeneralSicknessSymptoms	0.608762876407494	0.00204551395101328	-0.00131460216362966	0.481	0.7225
ICD_simple_Diarrea	0.361222510007511	0.00121475997091502	-0.00214815329517615	0.519	0.7225
FOOD	3.93274924089726	0.0258848027205885	0.0193029432795113	0.016	0.0453333333333333
DayCare	2.54721174997517	0.0085035401768362	0.00516516825823965	0.11	0.267142857142857
