F	r2	r2adj	p-value	FDR
InfantID	4.20929442152359	0.091944690829186	0.0701014359694069	0.002	0.00566666666666667
X.days	47.2739773422382	0.137314988798133	0.134410325460753	0.001	0.00425
Siblings	0.243086169876227	0.000817802603951238	-0.00254644721893094	0.646	0.975
FurryPets	12.3512236782809	0.0399262156826828	0.0366936440183147	0.002	0.00566666666666667
Secretor	0.0127883550827843	4.30565806732054e-05	-0.00332380181467817	0.911	0.975
Lewis	0.0325908786446726	0.000220160158322096	-0.00653510902979737	0.969	0.975
ABO	5.20990586653291	0.0340050196954723	0.0274780265853065	0.006	0.0145714285714286
Consistency	30.003291068195	0.168554698557233	0.162936824898836	0.001	0.00425
ATC_level2_J01	0.00378351991833249	1.27389620209291e-05	-0.00335422151285436	0.948	0.975
ATC_level2_M01	0.0434019038424945	0.000146113004242203	-0.00322039839978383	0.885	0.975
ATC_level2_N02	0.000931021817384794	3.13474376723891e-06	-0.00336385806854334	0.975	0.975
ICD_simple_respiratory	0.741378017662093	0.00249000667155545	-0.000868612834600935	0.402	0.6834
ICD_simple_Fever	0.00306702429584829	1.03265744915604e-05	-0.00335664202290076	0.951	0.975
ICD_simple_GeneralSicknessSymptoms	5.91299208326168	0.0195204307434803	0.0162191527325156	0.014	0.02975
ICD_simple_Diarrea	6.14359185510191	0.0202662765110946	0.0169675097653408	0.022	0.0415555555555556
FOOD	38.5402795689463	0.206605670678764	0.20124489818335	0.001	0.00425
DayCare	41.7823767499674	0.123331021969907	0.120379274569132	0.001	0.00425
