F	r2	r2adj	p-value	FDR
InfantID	4.44452707518191	0.0965866515804782	0.0748550590068128	0.001	0.0085
X.days	18.4058404666032	0.0583560546607953	0.0551855363263197	0.001	0.0085
Siblings	5.29952356184169	0.0175307043140529	0.014222726887501	0.026	0.0631428571428571
FurryPets	4.73729059706504	0.015700050158504	0.0123859089132465	0.026	0.0631428571428571
Secretor	0.757760696682964	0.00254488982893336	-0.000813544885447381	0.449	0.545214285714286
Lewis	3.95047137912161	0.0259984147680927	0.0194173229759853	0.035	0.074375
ABO	2.79220760800703	0.0185169224079902	0.011885279991828	0.062	0.117111111111111
Consistency	3.61347268474328	0.0238334537212068	0.0172377338139177	0.026	0.0631428571428571
ATC_level2_J01	0.428371504009521	0.0014402509815838	-0.00192190305551532	0.241	0.341416666666667
ATC_level2_M01	0.1673275212361	0.000563075095205891	-0.00280203239605603	0.724	0.724
ATC_level2_N02	0.310094268013147	0.00104299946080408	-0.00232049212350294	0.578	0.614125
ICD_simple_respiratory	0.603250506134624	0.00202702929187996	-0.00133314906067272	0.492	0.5576
ICD_simple_Fever	1.19067591345053	0.00399300182610715	0.000639442909696752	0.229	0.341416666666667
ICD_simple_GeneralSicknessSymptoms	2.54212379303133	0.00848669883501198	0.00514827021156083	0.098	0.1666
ICD_simple_Diarrea	0.779315711308205	0.00261709148416386	-0.000741100127000571	0.36	0.470769230769231
FOOD	5.63898375091285	0.0367028186026996	0.0301940538635287	0.005	0.02125
DayCare	12.1858430403641	0.0394126811258083	0.0361783803888582	0.002	0.0113333333333333
