F	r2	r2adj	p-value	FDR
InfantID	3.30189998857328	0.0735826847379549	0.0512977321371496	0.005	0.02125
X.days	11.1303499864087	0.036122212521096	0.0328768327652748	0.001	0.00566666666666667
Siblings	0.120625159675944	0.000405980431722366	-0.00295965599780046	0.737	0.7894375
FurryPets	9.60331150224482	0.0313216170275269	0.0280600736505152	0.001	0.00566666666666667
Secretor	0.293883173729298	0.000988527481938001	-0.00237514750970536	0.596	0.779384615384615
Lewis	2.55711613203721	0.0169843591437727	0.0103423615704198	0.065	0.184166666666667
ABO	0.14651565199695	0.000988991549022469	-0.00576108283240306	0.867	0.867
Consistency	1.84074297235515	0.0122846626080515	0.00561091032837613	0.127	0.308428571428571
ATC_level2_J01	0.513792128787237	0.00172695230399546	-0.00163423640878557	0.174	0.36975
ATC_level2_M01	0.307260052379762	0.00103347645235985	-0.00233004719594887	0.324	0.50575
ATC_level2_N02	0.491944409573574	0.00165363943064047	-0.00170779612683214	0.232	0.438222222222222
ICD_simple_respiratory	0.148647660786418	0.000500246802254032	-0.00286507223208199	0.696	0.7894375
ICD_simple_Fever	0.103469850188326	0.000348262005288931	-0.00301756876236992	0.743	0.7894375
ICD_simple_GeneralSicknessSymptoms	0.906605381140664	0.00304325370691514	-0.000313503014610417	0.331	0.50575
ICD_simple_Diarrea	0.654260280423369	0.00219805448041288	-0.00116154802975421	0.357	0.50575
FOOD	3.96291226690686	0.0260781542534959	0.0194976012416953	0.015	0.051
DayCare	11.035745923751	0.035826185985839	0.0325798095076768	0.001	0.00566666666666667
