F	r2	r2adj	p-value	FDR
InfantID	11.8951558514515	0.222478319493347	0.203775048828239	0.001	0.00283333333333333
X.days	52.7318452607014	0.150777934509777	0.147918600955938	0.001	0.00283333333333333
Siblings	38.5364156578025	0.11485017380976	0.111869871364675	0.001	0.00283333333333333
FurryPets	3.99987983145181	0.0132886426190322	0.00996638215646994	0.054	0.0834545454545454
Secretor	7.56772585515545	0.0248474319920374	0.0215640900122126	0.009	0.017
Lewis	13.1164539897548	0.081409773272374	0.0752030825512414	0.001	0.00283333333333333
ABO	4.44677983561619	0.0291693917077892	0.0226097254355445	0.009	0.017
Consistency	5.46453641503328	0.0356078123499154	0.0290916489198473	0.003	0.00728571428571429
ATC_level2_J01	1.76745243402244	0.00591581318387666	0.00256872837978206	0.14	0.17
ATC_level2_M01	1.30632392157469	0.00437913586410633	0.00102687706230209	0.184	0.20825
ATC_level2_N02	2.01702114204898	0.00674550610645936	0.00340121488122858	0.093	0.121615384615385
ICD_simple_respiratory	1.68358006016679	0.00563666760599178	0.00228864291779651	0.196	0.20825
ICD_simple_Fever	3.05921755850788	0.0101953793767771	0.00686270388646315	0.07	0.0991666666666667
ICD_simple_GeneralSicknessSymptoms	5.28187972083442	0.0174733587263397	0.0141651882170007	0.022	0.0374
ICD_simple_Diarrea	0.0750102628074406	0.000252496037081957	-0.00311365717491419	0.796	0.796
FOOD	17.4606794715858	0.105527666919707	0.0994839349394343	0.001	0.00283333333333333
DayCare	45.6628905903391	0.133258931282787	0.130340611186096	0.001	0.00283333333333333
