F	r2	r2adj	p-value	FDR
InfantID	4.05861228535582	0.0889460585427546	0.0670306716348484	0.001	0.00425
X.days	165.922209121654	0.358423523115199	0.356263332957337	0.001	0.00425
Siblings	5.20933841253418	0.0172375163517387	0.0139285517603304	0.025	0.05525
FurryPets	6.31657921059279	0.0208250377444986	0.017528152349699	0.012	0.034
Secretor	3.06363701487146	0.0102099576121569	0.00687733120681056	0.074	0.1258
Lewis	1.59289945988237	0.0106482290645723	0.00396341980149506	0.221	0.341545454545455
ABO	3.31942052781129	0.0219365136096407	0.0153279765394356	0.037	0.0698888888888889
Consistency	3.75483939222901	0.0247427983665428	0.0181532226798303	0.026	0.05525
ATC_level2_J01	0.0897380350091784	0.000302057000025372	-0.00306392934004185	0.836	0.885
ATC_level2_M01	0.0815702409933654	0.000274571865656949	-0.00309150701695038	0.818	0.885
ATC_level2_N02	0.0163816454740632	5.51540133352534e-05	-0.00331166364991953	0.885	0.885
ICD_simple_respiratory	0.0704419280957942	0.000237121968912829	-0.00312908300762293	0.788	0.885
ICD_simple_Fever	0.491799883782861	0.00165315441963437	-0.00170828277087187	0.521	0.725769230769231
ICD_simple_GeneralSicknessSymptoms	5.99218388654581	0.0197766945987939	0.0164762794290929	0.01	0.034
ICD_simple_Diarrea	0.327786269251665	0.00110244075525061	-0.00226085069001791	0.555	0.725769230769231
FOOD	50.9770943363987	0.256195792316751	0.251170088210783	0.001	0.00425
DayCare	71.9282164959117	0.194965343608271	0.192254789209645	0.001	0.00425
