F	r2	r2adj	p-value	FDR
InfantID	3.7809142039239	0.0833675610244042	0.0613179834545445	0.002	0.0068
X.days	88.2082153834266	0.228988406427486	0.226392407795929	0.001	0.00425
Siblings	11.3739009934782	0.0368834747585165	0.0336406581752118	0.001	0.00425
FurryPets	6.44763754003367	0.0212479411350929	0.0179524796574334	0.008	0.0194285714285714
Secretor	5.49053863272515	0.0181511086513406	0.0148452201282812	0.021	0.044625
Lewis	6.10328930239148	0.0396051851327793	0.0331160309782711	0.006	0.017
ABO	2.80093081542528	0.0185736971269329	0.0119424383237364	0.055	0.0935
Consistency	1.97816623323881	0.013189694759719	0.00652205756214941	0.139	0.214818181818182
ATC_level2_J01	0.835022994272952	0.0028036427209872	-0.0005539207715346	0.331	0.468916666666667
ATC_level2_M01	0.101279069456292	0.000340890721754902	-0.00302496486504067	0.817	0.8893125
ATC_level2_N02	0.0638911599909654	0.000215075483396788	-0.00315120372372979	0.837	0.8893125
ICD_simple_respiratory	0.00499219957039458	1.68084702328509e-05	-0.00335013830259467	0.95	0.95
ICD_simple_Fever	0.782210812570553	0.0026267882505006	-0.000731370711618995	0.378	0.494307692307692
ICD_simple_GeneralSicknessSymptoms	3.40690707656885	0.011340974512615	0.00801215624498064	0.055	0.0935
ICD_simple_Diarrea	0.124139301762596	0.000417802814858199	-0.00294779380866084	0.734	0.8893125
FOOD	30.6092252578209	0.171375387881767	0.165776572935022	0.001	0.00425
DayCare	40.0645170012416	0.118863051375693	0.115896260302883	0.001	0.00425
