F	r2	r2adj	p-value	FDR
InfantID	0.474096919318433	0.0112757995954354	-0.012507944056908	0.928	0.928
X.days	22.2388304890464	0.069662047235853	0.0665295962164451	0.001	0.00566666666666667
Siblings	0.944798415851549	0.00317105188905786	-0.000185274535558166	0.372	0.574909090909091
FurryPets	0.157221955584998	0.000529086772821216	-0.00283613515723657	0.692	0.8296
Secretor	0.592513149767644	0.00199102169438468	-0.00136927789586982	0.477	0.67575
Lewis	0.377726343394059	0.00254570785455951	-0.00419384817345025	0.732	0.8296
ABO	0.39243929989157	0.00264460441342619	-0.00409428339459117	0.717	0.8296
Consistency	2.39851420894114	0.0159477254250598	0.00929872356982375	0.083	0.2856
ATC_level2_J01	0.0569543099118317	0.000191728586338406	-0.00317462922986911	0.824	0.8755
ATC_level2_M01	0.174051917386504	0.000585690157883939	-0.00277934118838585	0.313	0.5321
ATC_level2_N02	0.261467933176012	0.000879589053347437	-0.00248445273435172	0.214	0.50575
ICD_simple_respiratory	0.971066586816867	0.00325892912335478	-9.71014183173136e-05	0.272	0.513777777777778
ICD_simple_Fever	0.931764529487356	0.00312744272487648	-0.00022903053194212	0.238	0.50575
ICD_simple_GeneralSicknessSymptoms	2.44947844338876	0.00817993892032056	0.00484047743520377	0.084	0.2856
ICD_simple_Diarrea	0.702814147204266	0.0023607910768917	-0.000998263498606988	0.188	0.50575
FOOD	9.68968368077996	0.0614477970568788	0.0551062281180738	0.001	0.00566666666666667
DayCare	12.5953960468943	0.0406834087577531	0.0374533865650183	0.001	0.00566666666666667
