F	r2	r2adj	p-value	FDR
InfantID	4.04771307546996	0.088728391840427	0.0668077689637362	0.001	0.0085
X.days	6.27510282350345	0.0206911242138968	0.0173937879317887	0.009	0.0306
Siblings	2.09179656367613	0.00699382794081678	0.00365037281603842	0.163	0.238
FurryPets	11.8266838783701	0.0382955375806451	0.0350574754176171	0.001	0.0085
Secretor	3.14297290003776	0.0104715858234819	0.00713984032120418	0.072	0.153
Lewis	2.1514999880711	0.0143288611052306	0.00766892097756322	0.112	0.1904
ABO	3.37636177232944	0.0223044188194158	0.0156983675952226	0.031	0.0878333333333333
Consistency	7.18124571800112	0.0462765051586907	0.039832427490844	0.002	0.0113333333333333
ATC_level2_J01	14.5347384551309	0.0466552735890939	0.0434453586853534	0.004	0.017
ATC_level2_M01	0.463620072860992	0.00155857739090055	-0.00180317824077991	0.168	0.238
ATC_level2_N02	0.610809522473544	0.00205237680531029	-0.00130771620207915	0.235	0.307307692307692
ICD_simple_respiratory	2.37723390349598	0.00794059679321601	0.00460032944235145	0.107	0.1904
ICD_simple_Fever	0.476213263074635	0.00160084484689031	-0.00176076847012352	0.512	0.621714285714286
ICD_simple_GeneralSicknessSymptoms	0.029169538139658	9.82042881007769e-05	-0.00326846842473394	0.868	0.868
ICD_simple_Diarrea	0.103337160290786	0.000347815548887739	-0.00301801672199131	0.753	0.8000625
FOOD	2.44520870932995	0.0162531510993763	0.00960621293112884	0.062	0.150571428571429
DayCare	0.110764594263685	0.000372805725887937	-0.00299294240298109	0.751	0.8000625
