F	r2	r2adj	p-value	FDR
InfantID	4.8416991215941	0.104317449873605	0.0827718215200487	0.001	0.00425
X.days	41.6642575805207	0.123025257752849	0.120072480842925	0.001	0.00425
Siblings	0.64540041893501	0.00216835340988508	-0.00119134910388641	0.404	0.507571428571429
FurryPets	0.0222038227335225	7.47547572126092e-05	-0.00329199691027138	0.88	0.88
Secretor	0.186897584747769	0.00062888904681429	-0.00273599684865089	0.674	0.763866666666667
Lewis	6.10255156211936	0.0396005874027296	0.0331114021824778	0.004	0.0113333333333333
ABO	7.04278129958907	0.0454247610921033	0.0389749283967796	0.003	0.0102
Consistency	2.73368476600761	0.018135858419777	0.0115016412469376	0.062	0.1054
ATC_level2_J01	3.39334258561256	0.0112963308587488	0.00796736227578154	0.056	0.1054
ATC_level2_M01	0.711256807014425	0.00238908267911241	-0.000969876638466483	0.418	0.507571428571429
ATC_level2_N02	0.172900468595984	0.000581817750956922	-0.00278322663371999	0.741	0.7873125
ICD_simple_respiratory	1.71261588434271	0.00573332291062593	0.00238562366116668	0.183	0.282818181818182
ICD_simple_Fever	4.48525649942388	0.0148772001374218	0.0115602883533727	0.043	0.091375
ICD_simple_GeneralSicknessSymptoms	0.841870803192046	0.00282656968585971	-0.000530916611494181	0.354	0.5015
ICD_simple_Diarrea	9.08320323470868	0.0296756017276243	0.0264085162115557	0.008	0.0194285714285714
FOOD	18.8667940047709	0.113064999644157	0.107072195587698	0.001	0.00425
DayCare	60.7584495807238	0.16983092824762	0.167035746187848	0.001	0.00425
