F	r2	r2adj	p-value	FDR
InfantID	9.93487106112181	0.192886523240805	0.173471422425292	0.001	0.0034
X.days	6.54748448889393	0.0215698855153368	0.0182755080254895	0.018	0.03825
Siblings	0.0444669704297236	0.000149698026303079	-0.0032168013069418	0.825	0.935
FurryPets	16.7612011074434	0.0534202477816998	0.0502331105688437	0.001	0.0034
Secretor	0.22370047724167	0.000752633376418107	-0.00261183587147262	0.623	0.814692307692308
Lewis	3.55239177338067	0.0234400244813862	0.0168416462684225	0.032	0.0604444444444444
ABO	0.112757854202316	0.000761297377997045	-0.00599031547755713	0.9	0.95625
Consistency	0.0427632677467845	0.000288857535504413	-0.00646594748114748	0.957	0.957
ATC_level2_J01	1.26152148220002	0.00422958173059311	0.000876819379517668	0.281	0.434272727272727
ATC_level2_M01	0.0844468024387136	0.000284251846058002	-0.00308179444402268	0.806	0.935
ATC_level2_N02	0.410999267434593	0.00138192356182839	-0.00198042686388922	0.516	0.731
ICD_simple_respiratory	22.2227579789726	0.0696152057568416	0.0664825970220162	0.001	0.0034
ICD_simple_Fever	9.05388974747209	0.0295826651801176	0.0263152667463806	0.006	0.0145714285714286
ICD_simple_GeneralSicknessSymptoms	12.0303506900028	0.0389293500238455	0.0356934219094477	0.001	0.0034
ICD_simple_Diarrea	2.83614708819538	0.009458989904113	0.00612383498796532	0.084	0.1428
FOOD	21.2715999360644	0.12566549819402	0.119757832641277	0.001	0.0034
DayCare	11.3901436340059	0.0369342012678705	0.0336915554808935	0.002	0.00566666666666667
