F	r2	r2adj	p-value	FDR
InfantID	9.634283602844	0.188148610648259	0.168619539426739	0.001	0.00242857142857143
X.days	25.3517041619471	0.0786460993834567	0.0755438976978791	0.001	0.00242857142857143
Siblings	0.778109178187128	0.00261305030223533	-0.00074515491560212	0.374	0.454142857142857
FurryPets	29.5827545539304	0.090582721045196	0.0875207100049441	0.001	0.00242857142857143
Secretor	2.30684225863111	0.00770728206954175	0.00436622914721707	0.113	0.160083333333333
Lewis	2.78810082374511	0.0184901912585536	0.0118583682265168	0.062	0.0958181818181818
ABO	15.4091804123085	0.0942981316804148	0.0881785244620392	0.001	0.00242857142857143
Consistency	13.2160071172878	0.0819770155185202	0.0757741575152669	0.001	0.00242857142857143
ATC_level2_J01	0.0336822992927039	0.000113395555116761	-0.00325322600867062	0.854	0.854
ATC_level2_M01	0.380797813367433	0.00128050572251951	-0.00208218617740452	0.603	0.6834
ATC_level2_N02	0.0515903392139411	0.000173674677705069	-0.00319274392607394	0.82	0.854
ICD_simple_respiratory	3.95552327389937	0.0131432154189091	0.00982046530247438	0.049	0.0833
ICD_simple_Fever	0.973476006883695	0.00326698879353009	-8.90146112055845e-05	0.341	0.445923076923077
ICD_simple_GeneralSicknessSymptoms	5.96744024836929	0.0196966388318073	0.0163959541140695	0.013	0.027625
ICD_simple_Diarrea	3.89200517933913	0.012934890633001	0.00961143908631068	0.034	0.0642222222222222
FOOD	25.0482708216221	0.14474730491495	0.1389685704887	0.001	0.00242857142857143
DayCare	25.0407119000267	0.0777563549412358	0.0746511574831255	0.001	0.00242857142857143
