F	r2	r2adj	p-value	FDR
InfantID	5.10857043208693	0.109438100709946	0.0880156495242751	0.001	0.0034
X.days	5.51481151310838	0.0182298892590567	0.0149242659905686	0.024	0.0453333333333333
Siblings	13.7706089432712	0.0443111689039581	0.04109336139185	0.001	0.0034
FurryPets	1.65778181296101	0.00555077387536222	0.00220245998268664	0.179	0.3043
Secretor	15.2512350310002	0.0488428333341453	0.045640283951432	0.002	0.00485714285714286
Lewis	7.61678384999215	0.048945773467047	0.0425197313958784	0.002	0.00485714285714286
ABO	8.16983248664166	0.0523137686488875	0.0459104833019205	0.001	0.0034
Consistency	0.602236710555844	0.0040526759481344	-0.00267669786302682	0.537	0.6086
ATC_level2_J01	0.555247055874846	0.00186603012841707	-0.00149469030886107	0.477	0.579214285714286
ATC_level2_M01	0.316030038969543	0.00106294315489185	-0.00230048127893001	0.609	0.644
ATC_level2_N02	0.251602529929406	0.000846429515561896	-0.00251772392041283	0.644	0.644
ICD_simple_respiratory	4.98209319242168	0.0164979755579319	0.0131865209301808	0.021	0.044625
ICD_simple_Fever	1.02047020751747	0.00342416145712037	6.86872532722482e-05	0.333	0.47175
ICD_simple_GeneralSicknessSymptoms	0.965697094759641	0.00324096734683028	-0.000115123672203898	0.322	0.47175
ICD_simple_Diarrea	0.756419010579689	0.00254039531068115	-0.00081805453675754	0.408	0.533538461538462
FOOD	12.349774722027	0.0770177241810029	0.0707813574524963	0.001	0.0034
DayCare	19.4975016343555	0.0616039669623701	0.0584443843595499	0.001	0.0034
