"","C1","C2","Pr(>F)","R2","N","FDR"
"1","Infant_Bact2","Rum","0.001","0.39556788876359","655",1
"2","Infant_Bact2","Bact1","0.001","0.398584892131431","727",1
"3","Infant_Bact2","Prev","0.001","0.376281215062957","504",1
"4","Infant_Bact2","Bact2","0.001","0.185560676823287","428",1
"5","Rum","Bact1","0.001","0.157180841105581","778",1
"6","Rum","Prev","0.001","0.18743852489045","555",1
"7","Rum","Bact2","0.001","0.141948996926898","479",1
"8","Bact1","Prev","0.001","0.212625249586745","627",1
"9","Bact1","Bact2","0.001","0.0850807655431119","551",1
"10","Prev","Bact2","0.001","0.21561812888741","328",1
