"","chi2","Z","P","P.adj","Comparison","N","r","r2"
"1",700.503821588538,-1.18699584754723,0.117614629212589,0.147018286515736,"1_0-3m - 2_3-6m",200,-0.0839332813040921,0.00704479571047186
"2",700.503821588538,-1.602625972967,0.0545086279682933,0.0908477132804889,"1_0-3m - 3_6-9m",149,-0.131292235370745,0.0172376510686471
"3",700.503821588538,-0.642959331105195,0.26012524462,0.289028049577777,"2_3-6m - 3_6-9m",147,-0.0530303918416523,0.00281222245887918
"4",700.503821588538,-2.25009177561871,0.0122215600295958,0.0244431200591915,"1_0-3m - 4_9-12m",155,-0.180731720598149,0.0326639548303675
"5",700.503821588538,-1.24988842140448,0.105670154816514,0.150957364023591,"2_3-6m - 4_9-12m",153,-0.101047489837003,0.0102105952023593
"6",700.503821588538,-0.495847378273556,0.310001047470808,0.310001047470808,"3_6-9m - 4_9-12m",102,-0.0490962063288987,0.0024104374758898
"7",700.503821588538,-18.073472735424,2.57817384104095e-73,2.57817384104095e-72,"1_0-3m - 5_adults",1207,-0.520221112187849,0.270630005565962
"8",700.503821588538,-16.3082270942789,4.3130123187089e-60,2.15650615935445e-59,"2_3-6m - 5_adults",1205,-0.46980023207413,0.220712258056907
"9",700.503821588538,-10.836797337109,1.15197981140036e-27,3.83993270466786e-27,"3_6-9m - 5_adults",1154,-0.319005409142262,0.101764451062022
"10",700.503821588538,-10.7586036075547,2.69909634059333e-27,6.74774085148333e-27,"4_9-12m - 5_adults",1160,-0.315883478604997,0.0997823720555935
