"","chi2","Z","P","P.adj","Comparison","N","r","r2"
"1",687.740857605489,-0.568882257275639,0.284718023476841,0.284718023476841,"1_0-3m - 2_3-6m",200,-0.0402260501816314,0.00161813511321513
"2",687.740857605489,-1.39149491627536,0.0820377000829559,0.117196714404223,"1_0-3m - 3_6-9m",149,-0.113995705265275,0.0129950208189274
"3",687.740857605489,-0.92954419678632,0.176303565839487,0.195892850932763,"2_3-6m - 3_6-9m",147,-0.0766675131768909,0.00587790757672874
"4",687.740857605489,-2.75439191775391,0.00294006539778151,0.00588013079556302,"1_0-3m - 4_9-12m",155,-0.221238082771277,0.0489462892683102
"5",687.740857605489,-2.26916522061809,0.0116291401966765,0.0193819003277941,"2_3-6m - 4_9-12m",153,-0.183451135031106,0.033654318944201
"6",687.740857605489,-1.1109974805339,0.133284716889709,0.166605896112136,"3_6-9m - 4_9-12m",102,-0.110005142560392,0.0121011313897321
"7",687.740857605489,-17.7039492722321,1.95454000043062e-70,1.95454000043062e-69,"1_0-3m - 5_adults",1207,-0.509584865916016,0.259676735570644
"8",687.740857605489,-16.7753871873451,1.84721566425972e-63,9.23607832129858e-63,"2_3-6m - 5_adults",1205,-0.483257974529487,0.233538269946342
"9",687.740857605489,-10.8273197941674,1.27762639187962e-27,4.25875463959874e-27,"3_6-9m - 5_adults",1154,-0.31872641643162,0.101586528531342
"10",687.740857605489,-9.87297036459143,2.72627892857532e-23,6.8156973214383e-23,"4_9-12m - 5_adults",1160,-0.289880391237877,0.0840306412242246
